nohup: ignoring input
iteration=0 	 commit=5390a119a3cdf58ea03effac83910cd35eab23f6 	 equal=0 	 total=0 	 percentage=0.0
iteration=23 	 commit=b3f93644de4941bdbd532a7d8f82cd652dfbeadf 	 equal=18 	 total=46 	 percentage=39.130434782608695
iteration=24 	 commit=864466a6753014106448f1a6c0000aa68bedf101 	 equal=18 	 total=48 	 percentage=37.5
iteration=25 	 commit=2ac091c8c1fefe21caf1c2d032c57f90c6674844 	 equal=18 	 total=50 	 percentage=36.0
iteration=26 	 commit=277f5de9684b3392f0d585bd36ad1a5e9e9e9ed7 	 equal=20 	 total=52 	 percentage=38.46153846153847
iteration=27 	 commit=5e7f4bd726f82e632f14c21261277f9f944fd918 	 equal=20 	 total=54 	 percentage=37.03703703703704
iteration=28 	 commit=d70e614b146b47066609c40ebba0e5c92ee6d487 	 equal=20 	 total=56 	 percentage=35.714285714285715
iteration=29 	 commit=4d2fa9808f48733432ead92f7a45be2974bc1984 	 equal=21 	 total=58 	 percentage=36.206896551724135
iteration=30 	 commit=14baf9772df781be96d04c40fe1c56615b301fe3 	 equal=23 	 total=60 	 percentage=38.333333333333336
iteration=31 	 commit=799848525e9f07b8ff7de1fb6d41cb082de364e6 	 equal=25 	 total=62 	 percentage=40.32258064516129
iteration=32 	 commit=66100be4fa629d03634c6461c084a72926473ce8 	 equal=27 	 total=64 	 percentage=42.1875
iteration=33 	 commit=cbaee79177ff09d91bdc3dd3d2497ecac80f969f 	 equal=29 	 total=66 	 percentage=43.93939393939394
iteration=34 	 commit=b3ca5e58c3839b34c45319848db6b19af344a7f3 	 equal=29 	 total=68 	 percentage=42.64705882352941
iteration=35 	 commit=ee974518464914b0e52549044a244863fd4342f7 	 equal=29 	 total=70 	 percentage=41.42857142857143
iteration=36 	 commit=90d1dd7bae03b9af063554f240d0f684912755c0 	 equal=29 	 total=72 	 percentage=40.27777777777778
iteration=37 	 commit=4d921bd83945b803f1ea3724d1d841e2138e2a05 	 equal=31 	 total=74 	 percentage=41.891891891891895
iteration=38 	 commit=6a869a8115c0fc914f91317b2dcd7fdf0b839611 	 equal=33 	 total=76 	 percentage=43.42105263157895
iteration=39 	 commit=327cd87e489fd2be39bdb5bad394ce33be247dde 	 equal=35 	 total=78 	 percentage=44.871794871794876
iteration=40 	 commit=e4bf68a684590ab17a7342030fd863dc15d3f507 	 equal=37 	 total=80 	 percentage=46.25
iteration=41 	 commit=95fe93b32e740c48c9c8eac3ec59a72dcf3f6f41 	 equal=37 	 total=82 	 percentage=45.1219512195122
iteration=42 	 commit=3e5737bfa1fc00dd6ee6895f19cab6d4c768421a 	 equal=37 	 total=84 	 percentage=44.047619047619044
iteration=43 	 commit=bdcde37d2ca87b2b193d269b63cd9eff6b047286 	 equal=37 	 total=86 	 percentage=43.02325581395349
iteration=44 	 commit=dcf7b6c11b0a5e2c19c88b1e2525fd9532e1e2dd 	 equal=39 	 total=88 	 percentage=44.31818181818182
iteration=45 	 commit=902ef7b20b7b7b6d434e45b3f06d2ac8b3e8ba54 	 equal=39 	 total=90 	 percentage=43.333333333333336
iteration=46 	 commit=4d3c2cb33bb0b71697fee27fc0ed6da4ba81bb53 	 equal=41 	 total=92 	 percentage=44.565217391304344
iteration=47 	 commit=953c9c762f346236d856327833f3a550b993138a 	 equal=41 	 total=94 	 percentage=43.61702127659575
iteration=48 	 commit=9389df54ca8f9c182153aa13eb1109ea98fb307c 	 equal=41 	 total=96 	 percentage=42.70833333333333
iteration=49 	 commit=9451ca15dc63b908786e93f86f84862b11fc45dd 	 equal=41 	 total=98 	 percentage=41.83673469387755
iteration=50 	 commit=f5e53b3c81b7adf41457436dd924fc849b14ddd6 	 equal=41 	 total=100 	 percentage=41.0
iteration=51 	 commit=170a36e41921ed11699b230205d6e269f5f62806 	 equal=43 	 total=102 	 percentage=42.15686274509804
iteration=52 	 commit=16a34e9dfffa9ad1e32459bd05455f25b02a772f 	 equal=44 	 total=104 	 percentage=42.30769230769231
iteration=53 	 commit=5f52816b85c82eb41fdd4f4bf4020f8a679e931d 	 equal=44 	 total=106 	 percentage=41.509433962264154
iteration=54 	 commit=9f5e62f4c4fb69338b66f4a590cba6f2926c3a31 	 equal=44 	 total=108 	 percentage=40.74074074074074
iteration=55 	 commit=c2063dce78088987a57eb501f9d5a315db610e55 	 equal=46 	 total=110 	 percentage=41.81818181818181
iteration=56 	 commit=e1613d72c8440b79c0d8c5822bec99eca7fa29af 	 equal=46 	 total=112 	 percentage=41.07142857142857
iteration=57 	 commit=405b7ce25e8e557d98dd299f6ecd8f1b795bf50a 	 equal=46 	 total=114 	 percentage=40.35087719298245
iteration=58 	 commit=eae2b1f08c87979385c9c0d0ad4b4f7a3f6e0802 	 equal=48 	 total=116 	 percentage=41.37931034482759
iteration=59 	 commit=87b2436275c19b23dd3b50c5ed2cc83cc0a514f6 	 equal=50 	 total=118 	 percentage=42.3728813559322
iteration=60 	 commit=4aca8d65fd073667433e4426c5c08d7e9ea68d64 	 equal=50 	 total=120 	 percentage=41.66666666666667
iteration=61 	 commit=21a074b69ec9911fac9ed42b30853dad0bee5cca 	 equal=50 	 total=122 	 percentage=40.98360655737705
iteration=62 	 commit=3ea6bca90d87d3f91556205c4e58ca425c6ac437 	 equal=50 	 total=124 	 percentage=40.32258064516129
iteration=63 	 commit=e73a2b3a0a93f60c4e90933f930f506df20935bd 	 equal=50 	 total=126 	 percentage=39.682539682539684
iteration=64 	 commit=c99378fe823256383810941123c1e1478369340a 	 equal=52 	 total=128 	 percentage=40.625
iteration=65 	 commit=fd5c40370d3b950ad8d44760e03c1da443c2d262 	 equal=52 	 total=130 	 percentage=40.0
iteration=66 	 commit=f20d9e5f739b7c8dce74ebc60a6dd1e06106c12e 	 equal=52 	 total=132 	 percentage=39.39393939393939
iteration=67 	 commit=ccfeabf5c7fe91469a4cdbfe1e533e4bd39963e6 	 equal=52 	 total=134 	 percentage=38.80597014925373
iteration=68 	 commit=202c2abec530919d19048406cb1605c75c643019 	 equal=54 	 total=136 	 percentage=39.705882352941174
iteration=69 	 commit=ef18170e6ec6e117df4d24497b16dd8cc8b42ca3 	 equal=56 	 total=138 	 percentage=40.57971014492754
iteration=70 	 commit=172c1bbe6d15c0096f869fea35b6a83b8622fb32 	 equal=56 	 total=140 	 percentage=40.0
iteration=71 	 commit=8351fa3fd29dc69566afe4704c503433be21f26c 	 equal=58 	 total=142 	 percentage=40.845070422535215
iteration=72 	 commit=bb3f7206b3f1cde757384474414a91cdfd3bcb63 	 equal=60 	 total=144 	 percentage=41.66666666666667
iteration=73 	 commit=274626018dc7693cb98f8e2538c44b19bc9b7c11 	 equal=62 	 total=146 	 percentage=42.465753424657535
iteration=74 	 commit=d8032e79f45bb37e00c2d61cff8c21d6f1052d78 	 equal=63 	 total=148 	 percentage=42.567567567567565
iteration=75 	 commit=310a336a73827e387adf65a372463db93128d210 	 equal=63 	 total=150 	 percentage=42.0
iteration=76 	 commit=e0da51ccb7f5bdfd5a1da63d4294738a881acd26 	 equal=65 	 total=152 	 percentage=42.76315789473684
iteration=77 	 commit=e9f634e789e52f4027f54165af0dea856e0dadac 	 equal=65 	 total=154 	 percentage=42.2077922077922
iteration=78 	 commit=e2ec957c0174a36396c3e8c194f44a1f300a950f 	 equal=65 	 total=156 	 percentage=41.66666666666667
iteration=79 	 commit=4b6d5121830cee30278fe3c7c84685e3805eb14b 	 equal=66 	 total=158 	 percentage=41.77215189873418
iteration=80 	 commit=a527e6bff642a0276467d8e0245b0ddaf60635bc 	 equal=66 	 total=160 	 percentage=41.25
iteration=81 	 commit=f4364adf48b0217297021beed3eaf59a64ec5f45 	 equal=66 	 total=162 	 percentage=40.74074074074074
iteration=82 	 commit=27466086ec5c4ca1a15684d034b6a27e76fe8ba6 	 equal=66 	 total=164 	 percentage=40.243902439024396
iteration=83 	 commit=d1be2ba7a8e324d09646bbb0355574feaa6d98ca 	 equal=66 	 total=166 	 percentage=39.75903614457831
iteration=84 	 commit=9fa129877a47a807f48d15dd6b5cee28734514d7 	 equal=66 	 total=168 	 percentage=39.285714285714285
iteration=85 	 commit=ff8aab1b2a16246f7c61ce5599eda0ba03298031 	 equal=66 	 total=170 	 percentage=38.82352941176471
iteration=86 	 commit=30eb3508c0b698901234db2e4752d369741393b4 	 equal=68 	 total=172 	 percentage=39.53488372093023
iteration=87 	 commit=766018f43cdf611351bbdf5d929354c723b5ba72 	 equal=70 	 total=174 	 percentage=40.229885057471265
iteration=88 	 commit=3cc01af0655b5cf9afc967e57abd9000b2dc4e3c 	 equal=70 	 total=176 	 percentage=39.77272727272727
iteration=89 	 commit=7b7b3f8018d652a0e8f38a69e28d535d98843df8 	 equal=70 	 total=178 	 percentage=39.325842696629216
iteration=90 	 commit=1ad64ccfa2315087ea5508d1550f816bc65fd982 	 equal=70 	 total=180 	 percentage=38.88888888888889
iteration=91 	 commit=bcabe82f358548e0a705743ff338212a5b05e13a 	 equal=72 	 total=182 	 percentage=39.56043956043956
iteration=92 	 commit=70980eaf611c21a5f12a7edbe332e223f3b874f1 	 equal=72 	 total=184 	 percentage=39.130434782608695
iteration=93 	 commit=4b6a530539bb29ac057d2ac6d8f74d2ca78a3f2a 	 equal=74 	 total=186 	 percentage=39.784946236559136
iteration=94 	 commit=c702589307896c7d6f5f4cfdf63535761ad1ad23 	 equal=74 	 total=188 	 percentage=39.361702127659576
iteration=95 	 commit=e0c5c126dd25025bf3cfb39b92b0c71478ab307c 	 equal=76 	 total=190 	 percentage=40.0
iteration=96 	 commit=ca9716dd9c475649a5ea4e412c3b15a6e95bdfc5 	 equal=76 	 total=192 	 percentage=39.58333333333333
iteration=97 	 commit=14aca8b62d197db6bcbc92faf7f398ac9a598011 	 equal=76 	 total=194 	 percentage=39.175257731958766
iteration=98 	 commit=d46f01d8dbcda3e92c164e9b10788977e72ed403 	 equal=76 	 total=196 	 percentage=38.775510204081634
iteration=99 	 commit=d1070d73747d3c8771175c43e214f84537b65037 	 equal=76 	 total=198 	 percentage=38.38383838383838
iteration=100 	 commit=d6a34e2ca8b74cfdf9a1d58edb072e0aee26b233 	 equal=76 	 total=200 	 percentage=38.0
iteration=101 	 commit=97fe0bc48a72265b689560bbd4a5d3c2e8b120a6 	 equal=76 	 total=202 	 percentage=37.62376237623762
iteration=102 	 commit=5eecc8aaa146a838cbc95a6f19bbeac82fa6164f 	 equal=78 	 total=204 	 percentage=38.23529411764706
iteration=103 	 commit=1c3c1b2e85acf7a9d84bd53d696623146c549ace 	 equal=78 	 total=206 	 percentage=37.86407766990291
iteration=104 	 commit=5914c1d6e8a8dddbb176f37552a4efb27445b909 	 equal=78 	 total=208 	 percentage=37.5
iteration=105 	 commit=c3f1ece62ac52587308e44d3e170d864372875f2 	 equal=78 	 total=210 	 percentage=37.142857142857146
iteration=106 	 commit=8d5d591d1910a60608bdbafd92179e8dec918bff 	 equal=80 	 total=212 	 percentage=37.735849056603776
iteration=107 	 commit=7db45fac4947e99c9f1985dfa3c82bd612d64cb0 	 equal=82 	 total=214 	 percentage=38.31775700934579
iteration=108 	 commit=ff1b0aa530a1eb5b64119f3129434981bfc12e8e 	 equal=84 	 total=216 	 percentage=38.88888888888889
iteration=109 	 commit=661debdf700d7a13a8373f681e3729fcbb6aa573 	 equal=84 	 total=218 	 percentage=38.53211009174312
iteration=110 	 commit=19a8e85d7d903fbc826416252b4fbce1644c65f8 	 equal=84 	 total=220 	 percentage=38.18181818181819
iteration=111 	 commit=dc50059c757ae5c58b45755dc4f035e620679252 	 equal=84 	 total=222 	 percentage=37.83783783783784
iteration=112 	 commit=b01d37e14138de096212ae283840b580718966e7 	 equal=84 	 total=224 	 percentage=37.5
iteration=113 	 commit=153df8e9b5262795db43d47642a7df77d8fbedcb 	 equal=84 	 total=226 	 percentage=37.16814159292036
iteration=114 	 commit=89beb709b39f6b9645f27e7390b2464c5864c43b 	 equal=84 	 total=228 	 percentage=36.84210526315789
iteration=115 	 commit=0e8d7d11838dc16cdc6141c026def43710c8b326 	 equal=86 	 total=230 	 percentage=37.391304347826086
iteration=116 	 commit=6d72d8242cafe92d5c0c6a04b51f7e85108c450a 	 equal=88 	 total=232 	 percentage=37.93103448275862
iteration=117 	 commit=33c9b192ac32e7e95a825aa3ff4e18561f0dc80b 	 equal=90 	 total=234 	 percentage=38.46153846153847
iteration=118 	 commit=6b6eb10938115394f81ab737fee65749a42a2d10 	 equal=92 	 total=236 	 percentage=38.983050847457626
iteration=119 	 commit=28a523d6485d3be3c2a606cc942c34536cd26b50 	 equal=94 	 total=238 	 percentage=39.49579831932773
iteration=120 	 commit=94448a433c8690cb782ca9783d22e411e8d80e8d 	 equal=96 	 total=240 	 percentage=40.0
iteration=121 	 commit=3f8b9e92aade630b90943fd3936bdaa089e0603d 	 equal=98 	 total=242 	 percentage=40.49586776859504
iteration=122 	 commit=76f4d2e764f0fdb089678d1db3967391eb2f4077 	 equal=98 	 total=244 	 percentage=40.16393442622951
iteration=123 	 commit=352170ad66fe14c1d1dc9435be7f5770710db9c3 	 equal=98 	 total=246 	 percentage=39.83739837398374
iteration=124 	 commit=b15bf352a39208876b2e6f28c809290ccdf08eb8 	 equal=98 	 total=248 	 percentage=39.516129032258064
iteration=125 	 commit=9af5896fcf8d3c426cd958c662765411f05c1498 	 equal=98 	 total=250 	 percentage=39.2
iteration=126 	 commit=03f80c64305157fbebff73cd57f582086e2cafdf 	 equal=98 	 total=252 	 percentage=38.88888888888889
iteration=127 	 commit=c66a781cac176a525a7d6e2042f50f89892a2f2a 	 equal=100 	 total=254 	 percentage=39.37007874015748
iteration=128 	 commit=b0571a9e87f05785a9643b38768c711f0064b763 	 equal=100 	 total=256 	 percentage=39.0625
iteration=129 	 commit=4b2d2d0232098f57ae7e4504a4fd9397bf74f768 	 equal=100 	 total=258 	 percentage=38.759689922480625
iteration=130 	 commit=fa14391c97b8a35844a943102c0c579964301aff 	 equal=100 	 total=260 	 percentage=38.46153846153847
iteration=131 	 commit=3a82fc29f025fcb1ab4b41d519efb916ba297c6f 	 equal=100 	 total=262 	 percentage=38.16793893129771
iteration=132 	 commit=c297b22e096cd853973d8d670be383d9e38b96a8 	 equal=100 	 total=264 	 percentage=37.878787878787875
iteration=133 	 commit=5b18fb371d41a6f551f04caf418d1140062c4870 	 equal=100 	 total=266 	 percentage=37.59398496240601
iteration=134 	 commit=f897e21bc6e6823ed2912d8a496469eed41ca1da 	 equal=100 	 total=268 	 percentage=37.3134328358209
iteration=135 	 commit=406c83c465ddae11d98dcd2f9033b0cd0b262255 	 equal=100 	 total=270 	 percentage=37.03703703703704
iteration=136 	 commit=aba39d21302dcf53af6961cf6739c510532c683c 	 equal=100 	 total=272 	 percentage=36.76470588235294
iteration=137 	 commit=94d9d102f77312d808b7b65112d0a530a7ca4a12 	 equal=100 	 total=274 	 percentage=36.496350364963504
iteration=138 	 commit=ce644167f258e5a2f53e26976514a14866c77365 	 equal=100 	 total=276 	 percentage=36.231884057971016
iteration=139 	 commit=967a1a1ab038baf03c6f4b5faffc106dec559ce6 	 equal=102 	 total=278 	 percentage=36.69064748201439
iteration=140 	 commit=b8fd5b275b7f0ed1f9460db16e7c5a569ded3d35 	 equal=104 	 total=280 	 percentage=37.142857142857146
iteration=141 	 commit=09e2384245ea44c98254fd629c1a7b68a0b2a5aa 	 equal=106 	 total=282 	 percentage=37.5886524822695
iteration=142 	 commit=f18e9f9f1eb562e4bbc23c413c522996696e90df 	 equal=108 	 total=284 	 percentage=38.028169014084504
iteration=143 	 commit=fa27a6349e2795503e46720cce6c4b19996990d7 	 equal=108 	 total=286 	 percentage=37.76223776223776
iteration=144 	 commit=7341d579cdd58ef28f67af76dc8f9a2c4592bef2 	 equal=108 	 total=288 	 percentage=37.5
iteration=145 	 commit=a973ccdf0ea93022401c6c5cedcdfcaa5cd26866 	 equal=108 	 total=290 	 percentage=37.24137931034483
iteration=146 	 commit=dd373dcee45653390042107ed45a616b6234ea77 	 equal=108 	 total=292 	 percentage=36.986301369863014
iteration=147 	 commit=81bcacd21f864d37f94d719b70b7faeb433652b8 	 equal=108 	 total=294 	 percentage=36.734693877551024
iteration=148 	 commit=4edef6b3de6e262852fda6423fbbe23a16f09389 	 equal=108 	 total=296 	 percentage=36.486486486486484
iteration=149 	 commit=757b566fc14b3d9e33b50387afe9dced709006b2 	 equal=108 	 total=298 	 percentage=36.241610738255034
iteration=150 	 commit=24d0445aa4bf0795aff955dbaf1b585f090d3d2b 	 equal=108 	 total=300 	 percentage=36.0
iteration=151 	 commit=9604005a4e81ebc6bed2c90aa2044dc1cf064dfd 	 equal=108 	 total=302 	 percentage=35.76158940397351
iteration=152 	 commit=72902cfa13aecb1827c2a9bba971154253657ecd 	 equal=108 	 total=304 	 percentage=35.526315789473685
iteration=153 	 commit=8fc71482b4ef9ceabe6159708dd2747e2648dd7d 	 equal=110 	 total=306 	 percentage=35.947712418300654
iteration=154 	 commit=a246536f330eb6151a63cb1e86c6e0a7398fff64 	 equal=110 	 total=308 	 percentage=35.714285714285715
iteration=155 	 commit=ba6de4c34675c9788d601c3aca3d52b08970d220 	 equal=112 	 total=310 	 percentage=36.12903225806451
iteration=156 	 commit=a4e927b99e48b783980ceb12c2c7747dcec4cc13 	 equal=114 	 total=312 	 percentage=36.53846153846153
iteration=157 	 commit=3c265bb77f17abaf6031e09cb96833e5b3d128b8 	 equal=116 	 total=314 	 percentage=36.94267515923567
iteration=158 	 commit=090f89ff26dbea6c82b052502842093c5a954c75 	 equal=116 	 total=316 	 percentage=36.708860759493675
iteration=159 	 commit=acd8b7c3bb6c3b35e7c79cc91b52dbb09e5ad9e3 	 equal=118 	 total=318 	 percentage=37.10691823899371
iteration=160 	 commit=32f27b888d0e89cd40c086bd8d70381ee474078c 	 equal=118 	 total=320 	 percentage=36.875
iteration=161 	 commit=95b6c0ddfca22de51fa8197c9273fd8d7fdc4683 	 equal=118 	 total=322 	 percentage=36.64596273291926
iteration=162 	 commit=c498cfe5a6292f2c696178b69e6fb275f1a4a4da 	 equal=120 	 total=324 	 percentage=37.03703703703704
iteration=163 	 commit=e0a0f50a278df6bc1d3618e685494244d7139783 	 equal=122 	 total=326 	 percentage=37.423312883435585
iteration=164 	 commit=c7f3f602f8aa648feed2aee8f17c540c19dc1cca 	 equal=124 	 total=328 	 percentage=37.80487804878049
iteration=165 	 commit=015fabcd763f862983a1d57077fb6f73e64937ed 	 equal=124 	 total=330 	 percentage=37.57575757575757
iteration=166 	 commit=f08341bf5b776165923d8110e287b1b8eda26c9c 	 equal=126 	 total=332 	 percentage=37.95180722891566
iteration=167 	 commit=e5516f8c1827862a7e650dd850b0e919a2d6c51e 	 equal=126 	 total=334 	 percentage=37.72455089820359
iteration=168 	 commit=bf92b981ece533e814d10bc2bae20c8d4f96bdf4 	 equal=126 	 total=336 	 percentage=37.5
iteration=169 	 commit=66890c1cbf9c2a37b3bb9ec36562e78d88fb5348 	 equal=126 	 total=338 	 percentage=37.278106508875744
iteration=170 	 commit=3b8a01589cc8f0e96b4e405050f5c73fc665752e 	 equal=128 	 total=340 	 percentage=37.64705882352941
iteration=171 	 commit=07ce486444556f4d3b103e41219913f087d20ed2 	 equal=129 	 total=342 	 percentage=37.719298245614034
iteration=172 	 commit=d90f153e70b5a2f58d48c3381e7e26a40a891047 	 equal=130 	 total=344 	 percentage=37.7906976744186
iteration=173 	 commit=6bdf5710b0fb13bddc1d31c32d6622516221151d 	 equal=130 	 total=346 	 percentage=37.57225433526011
iteration=174 	 commit=03cc342c2a06ff7550dd6ce9180c64d92f75a8ce 	 equal=132 	 total=348 	 percentage=37.93103448275862
iteration=175 	 commit=e9e6fe93e89f9a29f10d843e23b8bbe79c54d9bc 	 equal=134 	 total=350 	 percentage=38.285714285714285
iteration=176 	 commit=62f014c45dce190df32313b35ec76f5329321c7f 	 equal=136 	 total=352 	 percentage=38.63636363636363
iteration=177 	 commit=431d2e6c9e367f8fada13205d527b38282200207 	 equal=138 	 total=354 	 percentage=38.983050847457626
iteration=178 	 commit=609992087a1e9ba85e24e76f59235b06149c7354 	 equal=138 	 total=356 	 percentage=38.764044943820224
iteration=179 	 commit=a646ed9b0a544b87d4998a7209b340970db6a53d 	 equal=138 	 total=358 	 percentage=38.547486033519554
iteration=180 	 commit=a03ec4540bb7cf5aa462b818c335965c4f7f1d2a 	 equal=138 	 total=360 	 percentage=38.333333333333336
iteration=181 	 commit=5960933f6e22df200e4d6bc6edb799e38b06df42 	 equal=138 	 total=362 	 percentage=38.12154696132597
iteration=182 	 commit=5cc48423fe42202ba5a0744eaa33193cbb85eab4 	 equal=138 	 total=364 	 percentage=37.91208791208791
iteration=183 	 commit=4eb0f56a92113de45e4ec0e10e90f23d4a9227bc 	 equal=140 	 total=366 	 percentage=38.25136612021858
iteration=184 	 commit=7e267e09a4927c45ff5a38e7d62340c94772e9a2 	 equal=142 	 total=368 	 percentage=38.58695652173913
iteration=185 	 commit=b7021c2f409af1537b653488a3cbc2b01476b8ce 	 equal=144 	 total=370 	 percentage=38.91891891891892
iteration=186 	 commit=b10e715b6a12d63922e428512d2d14682fd1cefc 	 equal=146 	 total=372 	 percentage=39.247311827956985
iteration=187 	 commit=2bcf030e294cddf47abb63d53944b5e932848917 	 equal=148 	 total=374 	 percentage=39.57219251336899
iteration=188 	 commit=904af9ab0c32309e0ccb845837180c5c4afba0ff 	 equal=148 	 total=376 	 percentage=39.361702127659576
iteration=189 	 commit=5cd0e95e19ec3ba031a65dda618f8f068304ee01 	 equal=148 	 total=378 	 percentage=39.15343915343915
iteration=190 	 commit=b151180cd5a30b19a2d7a81e67c1be418facd4fb 	 equal=148 	 total=380 	 percentage=38.94736842105263
iteration=191 	 commit=247119e3db4a19d57000f15d350165343b0e9092 	 equal=148 	 total=382 	 percentage=38.7434554973822
iteration=192 	 commit=2549552043acf0a98f64360853ce37e6e045c35a 	 equal=148 	 total=384 	 percentage=38.54166666666667
iteration=193 	 commit=a1901ee99bf46beac43d129bb3f6ad2f9ed758af 	 equal=149 	 total=386 	 percentage=38.60103626943005
iteration=194 	 commit=3fa04293eb7005526c762ddab28e020fd2808aca 	 equal=149 	 total=388 	 percentage=38.402061855670105
iteration=195 	 commit=3ad10c30433f19da65f638326336865504fb972a 	 equal=149 	 total=390 	 percentage=38.205128205128204
iteration=196 	 commit=736337fdab52ba77e1877347adff595136f74d73 	 equal=149 	 total=392 	 percentage=38.01020408163265
iteration=197 	 commit=f70e352429e3b565262251b1150e77e8638bed6c 	 equal=151 	 total=394 	 percentage=38.3248730964467
iteration=198 	 commit=3cbd833a560eaa8f2d284c3de2033247777b2e6a 	 equal=151 	 total=396 	 percentage=38.131313131313135
iteration=199 	 commit=f8bcfde24f52e66dd98b8ae62057742bd3add35e 	 equal=152 	 total=398 	 percentage=38.19095477386934
iteration=200 	 commit=53ecbfc9af7a490ad49353b1e2b5011a66c0f100 	 equal=154 	 total=400 	 percentage=38.5
iteration=201 	 commit=a1678b91e2d1b1b38ff38897bc1540f2b57a7ebc 	 equal=156 	 total=402 	 percentage=38.80597014925373
iteration=202 	 commit=e8003bd8cde3b4b6b2954ad7370d3ece71607673 	 equal=158 	 total=404 	 percentage=39.10891089108911
iteration=203 	 commit=e2183097ad35038bb7266f181578020edf7cd08d 	 equal=158 	 total=406 	 percentage=38.91625615763547
iteration=204 	 commit=db9aa98fb14f3e88f8ab9fd6fc5043a45ccba3fd 	 equal=160 	 total=408 	 percentage=39.21568627450981
iteration=205 	 commit=e5cfc6977f716c4d42df4598cdd958fd865ed1a0 	 equal=162 	 total=410 	 percentage=39.51219512195122
iteration=206 	 commit=6aff5bbbfe06c70314ba7ea936d98aed0e48331f 	 equal=162 	 total=412 	 percentage=39.32038834951456
iteration=207 	 commit=646a1519d965895a4126b4e5f6fee2102d9c38a6 	 equal=162 	 total=414 	 percentage=39.130434782608695
iteration=208 	 commit=875be6054ff85261e254268a77cf47ebb9c539e9 	 equal=164 	 total=416 	 percentage=39.42307692307692
iteration=209 	 commit=849e4bbbdcffe8c7ec4fe319f7cf1fbbd8c84949 	 equal=165 	 total=418 	 percentage=39.473684210526315
iteration=210 	 commit=0f78fc2fc29463af7340fa5c7efac6f82dbba26b 	 equal=166 	 total=420 	 percentage=39.523809523809526
iteration=211 	 commit=d6c4d5d98f016d552c54bc86c42883d660adb70c 	 equal=167 	 total=422 	 percentage=39.57345971563981
iteration=212 	 commit=f39941016fcd5af3c510112e9224c2c19c504ef4 	 equal=168 	 total=424 	 percentage=39.62264150943396
iteration=213 	 commit=f51d2519590369107c27d0f3a078819e1df889fb 	 equal=170 	 total=426 	 percentage=39.906103286384976
iteration=214 	 commit=c92e079ea2954abc6b7005a802ea464ccfae9581 	 equal=171 	 total=428 	 percentage=39.953271028037385
