nohup: ignoring input
iteration=0 	 commit=4568762d28291679f6e4ed36ee65b21cfee14674 	 equal=0 	 total=0 	 percentage=0.0
iteration=40 	 commit=08b0620202354bfc8cc2099953a49657ad2ece18 	 equal=17 	 total=40 	 percentage=42.5
iteration=41 	 commit=dee5a914fc641fc87a68bb62113ca8dc1dfc9d84 	 equal=18 	 total=41 	 percentage=43.90243902439025
iteration=42 	 commit=d2d09e5bf9f77be06496f40715bcae13c844d82d 	 equal=18 	 total=42 	 percentage=42.857142857142854
iteration=43 	 commit=03eafe24ed203aa69b51856a9f0c3871d4e01395 	 equal=18 	 total=43 	 percentage=41.86046511627907
iteration=44 	 commit=e9a8fb8d073f747cd147c479b6dc6c06c953853a 	 equal=18 	 total=44 	 percentage=40.909090909090914
iteration=45 	 commit=fd8bba4b8077957eba39b5254cd880884fddc46b 	 equal=18 	 total=45 	 percentage=40.0
iteration=46 	 commit=bb9adfdad99656b04af45ae64f7b09e55669c1ed 	 equal=18 	 total=46 	 percentage=39.130434782608695
iteration=47 	 commit=393d3c82859501b39523f3a5b358b025d85ffbb5 	 equal=18 	 total=47 	 percentage=38.297872340425535
iteration=48 	 commit=9450ffb26dc3ccb195d5001cc18ef686b0496a86 	 equal=19 	 total=48 	 percentage=39.58333333333333
iteration=49 	 commit=ed049010b1890854c32c6e98d8b46708e3fa7d23 	 equal=19 	 total=49 	 percentage=38.775510204081634
iteration=50 	 commit=db9d96840d7d8e003da0c9d7322fcd3bb0248c74 	 equal=19 	 total=50 	 percentage=38.0
iteration=51 	 commit=9e9977e153a16140a75bd27b9635166669e15bac 	 equal=19 	 total=51 	 percentage=37.254901960784316
iteration=52 	 commit=681b731151313acf34d2d0209ae52b74f539dad3 	 equal=20 	 total=52 	 percentage=38.46153846153847
iteration=53 	 commit=83a841ab7cd52574c67e1de36c7acfa00314bcb7 	 equal=21 	 total=53 	 percentage=39.62264150943396
iteration=54 	 commit=85c2ec9a6967cc41a7448124432bc1fc624a887f 	 equal=22 	 total=54 	 percentage=40.74074074074074
iteration=55 	 commit=cf644fa901d51576a69652944944a92bcec5acb9 	 equal=23 	 total=55 	 percentage=41.81818181818181
iteration=56 	 commit=17ad121e935974f949fb8b0112055316fd8bbb6a 	 equal=24 	 total=56 	 percentage=42.857142857142854
iteration=57 	 commit=19e4edaf3f99e7c27d0966a05a493ff71e36dfc6 	 equal=25 	 total=57 	 percentage=43.859649122807014
iteration=58 	 commit=e1540e3b4cfd17df7e5e5acce371a41b39b5e304 	 equal=26 	 total=58 	 percentage=44.827586206896555
WARNING: Could not compile fuzz targets!
iteration=59 	 commit=063eb1b4972ffb39e8d938addfa901f47de6fbf7 	 equal=26 	 total=58 	 percentage=44.827586206896555
ERROR: Could not make clean!
