nohup: ignoring input
iteration=0 	 commit=d2533b96f32bd345fc5516a068799c5f0d4514ee 	 equal=0 	 total=0 	 percentage=0.0
iteration=51 	 commit=96b65b364472ff989092c299b659cfebddf63230 	 equal=22 	 total=51 	 percentage=43.13725490196079
iteration=52 	 commit=347538efbdc21b8df684ebd92d37400b3ce85d55 	 equal=22 	 total=52 	 percentage=42.30769230769231
iteration=53 	 commit=2b37d46564b48efa0298f57134c6a555c223ee44 	 equal=22 	 total=53 	 percentage=41.509433962264154
iteration=54 	 commit=2df5c963523b1595330f8c5f2a1f821d99bcd24d 	 equal=22 	 total=54 	 percentage=40.74074074074074
WARNING: Could not compile fuzz targets!
iteration=55 	 commit=3fa1df48a1c14d3004733471ce7fbce916750911 	 equal=22 	 total=54 	 percentage=40.74074074074074
iteration=56 	 commit=f30f1ae3eae4e995b9332d519137486b5e8848f9 	 equal=22 	 total=55 	 percentage=40.0
WARNING: Could not compile fuzz targets!
iteration=57 	 commit=7c709f039f7ff3cc92eea03af0660a171ef0673d 	 equal=22 	 total=55 	 percentage=40.0
iteration=58 	 commit=f8de55da040fc025cfcf4f5aafc82e1a805d9307 	 equal=22 	 total=56 	 percentage=39.285714285714285
iteration=59 	 commit=fd6b87253c5663173c00f2fbf766c10202061deb 	 equal=23 	 total=57 	 percentage=40.35087719298245
iteration=60 	 commit=821b1dcf340bdc228d951e3bed37d0c6911da66c 	 equal=23 	 total=58 	 percentage=39.6551724137931
iteration=61 	 commit=611b29acd8884a16aa2fbbf4ab7541c15b7172c6 	 equal=23 	 total=59 	 percentage=38.983050847457626
iteration=62 	 commit=71a56180e54de5ffa42b7e85835c272771393add 	 equal=23 	 total=60 	 percentage=38.333333333333336
iteration=63 	 commit=cb628b2e4ea33ab3041076f7e03e68678f02f12b 	 equal=23 	 total=61 	 percentage=37.704918032786885
iteration=64 	 commit=bc68c41d5ffbff856c3a3c29af047bee19710a58 	 equal=23 	 total=62 	 percentage=37.096774193548384
iteration=65 	 commit=4aad3c0eb0f7e112d50296e48878e332519f0333 	 equal=23 	 total=63 	 percentage=36.507936507936506
iteration=66 	 commit=68a80b10fe5dd2db7b2b45a996105182d5e9d5b9 	 equal=23 	 total=64 	 percentage=35.9375
iteration=67 	 commit=c17b7b38b0bf70188ee13f0a5b6deed4c365de6b 	 equal=24 	 total=65 	 percentage=36.92307692307693
iteration=68 	 commit=91540c56afee60f61a028d7048859815bb96832c 	 equal=25 	 total=66 	 percentage=37.878787878787875
iteration=69 	 commit=90d3ff290f20edc0e5b79cd431aff8a46c44ea9b 	 equal=26 	 total=67 	 percentage=38.80597014925373
iteration=70 	 commit=619cf868e60807d759639cfb070987ad059fa0c9 	 equal=26 	 total=68 	 percentage=38.23529411764706
iteration=71 	 commit=3524b0d201633f2c279579e8336d64cc450f0d93 	 equal=26 	 total=69 	 percentage=37.68115942028986
iteration=72 	 commit=3e753f5cbea3a7b334ecd6dae3b0723f528e06a5 	 equal=26 	 total=70 	 percentage=37.142857142857146
iteration=73 	 commit=c77274ffa935d303faa6dd746519a152e4fa8781 	 equal=26 	 total=71 	 percentage=36.61971830985916
WARNING: Could not compile fuzz targets!
iteration=74 	 commit=323c8655cfc70eee38b38ccf2244fb88171808ea 	 equal=26 	 total=71 	 percentage=36.61971830985916
WARNING: Could not compile fuzz targets!
iteration=75 	 commit=40afb685704f1a5bf8d9edc0b5c7ec7f25e94b77 	 equal=26 	 total=71 	 percentage=36.61971830985916
iteration=76 	 commit=4ab78af90a0f54665a8c1aca16745d2f641c7efb 	 equal=26 	 total=72 	 percentage=36.11111111111111
iteration=77 	 commit=b73c8918918430058a46e676c5c5b7db1217fd42 	 equal=26 	 total=73 	 percentage=35.61643835616438
iteration=78 	 commit=9fcb846402d8692d25cb5286777a832ca852fa44 	 equal=26 	 total=74 	 percentage=35.13513513513514
iteration=79 	 commit=136b3203f464df16ee74941aa020d90a9ba51763 	 equal=26 	 total=75 	 percentage=34.66666666666667
iteration=80 	 commit=1ed0b3f7caee09e208080c1cdb5ff8c18d155593 	 equal=26 	 total=76 	 percentage=34.21052631578947
iteration=81 	 commit=a354e5c1ff1425796f1d0467d95d0655277ffbc0 	 equal=27 	 total=77 	 percentage=35.064935064935064
iteration=82 	 commit=3de6fa11229dc1f743917b719f5601cdf97834d7 	 equal=27 	 total=78 	 percentage=34.61538461538461
iteration=83 	 commit=db16b27d1145b1f9f2f16c79607ba4ca297b2b39 	 equal=27 	 total=79 	 percentage=34.177215189873415
iteration=84 	 commit=d2fcc41eec2e9318bbca3ed4d8365f6019e7120f 	 equal=28 	 total=80 	 percentage=35.0
iteration=85 	 commit=cd372101842b491790c857258bb972e160d8479e 	 equal=28 	 total=81 	 percentage=34.5679012345679
iteration=86 	 commit=a5b6751bbd3e342b5dfb0d11606cd03eaa647f71 	 equal=29 	 total=82 	 percentage=35.36585365853659
iteration=87 	 commit=cd8eb93ecb1938ba28688a4450cc386c241c9b7a 	 equal=29 	 total=83 	 percentage=34.93975903614458
iteration=88 	 commit=68cb0aaee3de6371b81a4613476d9b33e43e95b1 	 equal=29 	 total=84 	 percentage=34.523809523809526
iteration=89 	 commit=40943eb67aaf423bfd76dc9ce1e6ad98ba00a72e 	 equal=29 	 total=85 	 percentage=34.11764705882353
iteration=90 	 commit=f78a3e732637d7c15227eaaac5d9072e37cda42f 	 equal=29 	 total=86 	 percentage=33.72093023255814
iteration=91 	 commit=72d07d32024192f10e1574d50b609c9b12ac8a30 	 equal=29 	 total=87 	 percentage=33.33333333333333
iteration=92 	 commit=ecea632c4ce718ba5bb33f4fd9c87846898ca135 	 equal=29 	 total=88 	 percentage=32.95454545454545
iteration=93 	 commit=fd9c48fd9c2fc8a22b5eb9e206734bba16fc947b 	 equal=30 	 total=89 	 percentage=33.70786516853933
iteration=94 	 commit=f2621c513752fb671e44d74707a94a0f0fcaa8de 	 equal=31 	 total=90 	 percentage=34.44444444444444
iteration=95 	 commit=a947052ec2e75e59465d079adf83cc9272adc7e3 	 equal=31 	 total=91 	 percentage=34.065934065934066
iteration=96 	 commit=0a9d2719c5932bd4668c8f4dc4667227859b1fc9 	 equal=31 	 total=92 	 percentage=33.69565217391305
iteration=97 	 commit=aa6e0482fac24b4a421b32fa84e21407afa2abab 	 equal=32 	 total=93 	 percentage=34.40860215053764
iteration=98 	 commit=77a063af1617367162bde3f37e14b5e42f5e6635 	 equal=33 	 total=94 	 percentage=35.1063829787234
iteration=99 	 commit=5cc23552a725277c5d343a745162e279f90fcfd6 	 equal=34 	 total=95 	 percentage=35.78947368421053
iteration=100 	 commit=76b3a7e78f54b4298e5cad9f277a5f652b3e0414 	 equal=35 	 total=96 	 percentage=36.45833333333333
iteration=101 	 commit=2b80b401be837d406897f2390b076e975065a8a0 	 equal=36 	 total=97 	 percentage=37.11340206185567
iteration=102 	 commit=f16c3406cde2633f08e0e96bbc6a22b1fcefe799 	 equal=37 	 total=98 	 percentage=37.755102040816325
iteration=103 	 commit=918a6ac2b443252d6afdc7ea8d7181d2946216d4 	 equal=38 	 total=99 	 percentage=38.38383838383838
iteration=104 	 commit=bd5a826d371b861ef8853ac43ced154f3a71b12c 	 equal=38 	 total=100 	 percentage=38.0
WARNING: Could not compile fuzz targets!
iteration=105 	 commit=50b6df538984b7e5069943129a9528d59eefa6b4 	 equal=38 	 total=100 	 percentage=38.0
ERROR: Could not make clean!
