nohup: ignoring input
iteration=0 	 commit=8426d9b4d4df1da3c5b2d759e509ae1c50a86667 	 equal=0 	 total=0 	 percentage=0.0
iteration=25 	 commit=91673a8ec0ae55e188a790bd2dfdc99246adf20e 	 equal=5 	 total=25 	 percentage=20.0
iteration=26 	 commit=41871f1803770305f182f56cbd22a336c5236a19 	 equal=5 	 total=26 	 percentage=19.230769230769234
iteration=27 	 commit=a393ac255493276b1ad9d7be057fe58ea824dd00 	 equal=5 	 total=27 	 percentage=18.51851851851852
iteration=28 	 commit=65434b4d1b5509e95940939e28fd90d4558da12e 	 equal=6 	 total=28 	 percentage=21.428571428571427
iteration=29 	 commit=59acd79c05b78950fe03279d60b015aeed5348ab 	 equal=6 	 total=29 	 percentage=20.689655172413794
iteration=30 	 commit=e2c07dcbf7492e79e5825a6ca66d28e2e372f71e 	 equal=7 	 total=30 	 percentage=23.333333333333332
iteration=31 	 commit=439e45a2f69549b674d6a6e2023e8debfa00a2b8 	 equal=8 	 total=31 	 percentage=25.806451612903224
iteration=32 	 commit=62fb93442753cbfb828335cd172e71471dffd536 	 equal=8 	 total=32 	 percentage=25.0
iteration=33 	 commit=8a32e0aa4afdfd575c329ce62baaf7a14888ed3b 	 equal=8 	 total=33 	 percentage=24.242424242424242
iteration=34 	 commit=dbdc74dc5502c2e05e1c1e2ac894943f418c8431 	 equal=9 	 total=34 	 percentage=26.47058823529412
iteration=35 	 commit=6a0dace25a4b5b77f0fa6911de2ba26ef0fdff2c 	 equal=9 	 total=35 	 percentage=25.71428571428571
iteration=36 	 commit=04e19712a5d48b84869f9942836ff8314fb0be8e 	 equal=9 	 total=36 	 percentage=25.0
iteration=37 	 commit=901d76009346d76996679c02deee708bf225e91e 	 equal=9 	 total=37 	 percentage=24.324324324324326
iteration=38 	 commit=c0ed74c1e130aa6d80e5ffc7b6e32b433aca1765 	 equal=9 	 total=38 	 percentage=23.684210526315788
iteration=39 	 commit=fc6c74f1004b5f67d0503633ddb74174a3c8d6ad 	 equal=10 	 total=39 	 percentage=25.64102564102564
iteration=40 	 commit=1e6918d553e0d76148f7de0af63fdce326e049b8 	 equal=10 	 total=40 	 percentage=25.0
iteration=41 	 commit=681297187ec45268e872b26753c441586c12bdd8 	 equal=11 	 total=41 	 percentage=26.82926829268293
iteration=42 	 commit=5148954eed7550dcac587fce0214b470442efa0d 	 equal=11 	 total=42 	 percentage=26.190476190476193
iteration=43 	 commit=d205f3a4847bc8b835fda91f51ba1cf45b796baf 	 equal=11 	 total=43 	 percentage=25.581395348837212
iteration=44 	 commit=47cffdc723c2e0c6dfaf62b7775ca1c1d338c0a4 	 equal=12 	 total=44 	 percentage=27.27272727272727
iteration=45 	 commit=36de01d9885562444ae2e2a3e0b7e01b3fb8743b 	 equal=12 	 total=45 	 percentage=26.666666666666668
iteration=46 	 commit=7fbe2158089898f09d741e991737f282e514ffaa 	 equal=12 	 total=46 	 percentage=26.08695652173913
iteration=47 	 commit=bf10593a3a912cd3cac69569c7474e687c0d0cd8 	 equal=12 	 total=47 	 percentage=25.53191489361702
iteration=48 	 commit=bef250eb8d44ba58fa04f82df7550a79b068d2d0 	 equal=12 	 total=48 	 percentage=25.0
iteration=49 	 commit=ba81adaad9a72530d1ac81149a1fdd154b010b06 	 equal=13 	 total=49 	 percentage=26.53061224489796
iteration=50 	 commit=eadd8c7178c79c814ecca9652973a9b9dd4cc71b 	 equal=13 	 total=50 	 percentage=26.0
iteration=51 	 commit=014daf43cb3bf1ceb6af102c9294ec04abf9a6b6 	 equal=14 	 total=51 	 percentage=27.450980392156865
iteration=52 	 commit=05b13651f96117674ba30dace03620658760acbd 	 equal=15 	 total=52 	 percentage=28.846153846153843
iteration=53 	 commit=81c6021fb40a254d9a586b0cb53453bba8973d80 	 equal=16 	 total=53 	 percentage=30.18867924528302
iteration=54 	 commit=a7b8b27dd39f45b9464ffc4226b0616c3ffe5ad7 	 equal=16 	 total=54 	 percentage=29.629629629629626
iteration=55 	 commit=511d53a826760dd11cd82947184583e2d094e2d2 	 equal=16 	 total=55 	 percentage=29.09090909090909
iteration=56 	 commit=f5df7f91f70234850484d26caf24e71e001e5304 	 equal=16 	 total=56 	 percentage=28.57142857142857
iteration=57 	 commit=e7803f7dbcdc966ab1f9db143424ee811ab1a398 	 equal=17 	 total=57 	 percentage=29.82456140350877
iteration=58 	 commit=b7eb21c1efbd33affb87479fc6055914fe9ab009 	 equal=17 	 total=58 	 percentage=29.310344827586203
iteration=59 	 commit=cf23a93d820558acdb8b1f0db85fdb94e709fee2 	 equal=18 	 total=59 	 percentage=30.508474576271187
iteration=60 	 commit=9a2de786de5da862404995ddd3408f7ad3d54ee8 	 equal=18 	 total=60 	 percentage=30.0
iteration=61 	 commit=5276973224066e591b0f1a79c3b091d395848ac4 	 equal=19 	 total=61 	 percentage=31.147540983606557
iteration=62 	 commit=f9d857a81b87b695c1e3b34f1e7fe55884d1288f 	 equal=20 	 total=62 	 percentage=32.25806451612903
iteration=63 	 commit=1537d6680bb66dc2484e11815bc2cd0e31ca39cc 	 equal=20 	 total=63 	 percentage=31.746031746031743
iteration=64 	 commit=e0260eb2d4085723302d637dd8f3fca339d18817 	 equal=20 	 total=64 	 percentage=31.25
iteration=65 	 commit=5205f073c57ae4b69e90d35c02e3a1a1cca44eb4 	 equal=20 	 total=65 	 percentage=30.76923076923077
iteration=66 	 commit=31925e4cc20018b2cf46664febd6347ce4a4b766 	 equal=20 	 total=66 	 percentage=30.303030303030305
iteration=67 	 commit=59c88f846d1dcd901a4420651aedf27816618923 	 equal=21 	 total=67 	 percentage=31.343283582089555
iteration=68 	 commit=c03c527fd207b4ad8f5a8e0f4f2c176bd227c979 	 equal=21 	 total=68 	 percentage=30.88235294117647
iteration=69 	 commit=38cc7d40a4bcb89314d212fdffd2ca8deebc3cb7 	 equal=21 	 total=69 	 percentage=30.434782608695656
iteration=70 	 commit=bc970005ce2e258e29a5c315ea4e49f76a66586e 	 equal=21 	 total=70 	 percentage=30.0
iteration=71 	 commit=f79ccdca9bbe9d486d91a44a4464b99ce38de0e2 	 equal=21 	 total=71 	 percentage=29.577464788732392
iteration=72 	 commit=4e47f81188d37e29027158b76271d02a781242e2 	 equal=22 	 total=72 	 percentage=30.555555555555557
iteration=73 	 commit=c63e5d212bc5dec1b1c749e3f07b42cd83081826 	 equal=22 	 total=73 	 percentage=30.136986301369863
iteration=74 	 commit=dee6433a89b088a1f8da9531a92a2a2693e5dac7 	 equal=23 	 total=74 	 percentage=31.08108108108108
iteration=75 	 commit=2bfa13e520e53210b96ead88f49a9ca20c5a5d18 	 equal=24 	 total=75 	 percentage=32.0
iteration=76 	 commit=e500892e18e994781760819e33098322728796e8 	 equal=24 	 total=76 	 percentage=31.57894736842105
iteration=77 	 commit=949187b049ce329c93d6639b91e244f2b208c807 	 equal=24 	 total=77 	 percentage=31.16883116883117
iteration=78 	 commit=58aa09a0b91cf81779d6710d7f9d855bb9d3712f 	 equal=24 	 total=78 	 percentage=30.76923076923077
iteration=79 	 commit=1f81baffadad9d955b030a1a29b9b06042a66552 	 equal=24 	 total=79 	 percentage=30.37974683544304
iteration=80 	 commit=0e9254dfa03d95c3aa2888cf78e9a30bc88d41bc 	 equal=24 	 total=80 	 percentage=30.0
iteration=81 	 commit=6ccd24eff58340c00db2877c4558a63c6b859442 	 equal=24 	 total=81 	 percentage=29.629629629629626
iteration=82 	 commit=d0f34d91373fa265d4445e456e4a10ce206c1559 	 equal=24 	 total=82 	 percentage=29.268292682926827
iteration=83 	 commit=825ac8eca8e384d6ad2538b5670088c31e08a9d7 	 equal=24 	 total=83 	 percentage=28.915662650602407
iteration=84 	 commit=b07fc10e91a5954254b47280aba287220c734a4b 	 equal=25 	 total=84 	 percentage=29.761904761904763
iteration=85 	 commit=cc1692515e2a6aabc6d07159e7926656e38eda53 	 equal=25 	 total=85 	 percentage=29.411764705882355
iteration=86 	 commit=ce101dcaf73ff6d610593230d41b63c163a91519 	 equal=25 	 total=86 	 percentage=29.069767441860467
iteration=87 	 commit=553b37ce4ff758d8cf80d48a21287526c92221c6 	 equal=25 	 total=87 	 percentage=28.735632183908045
iteration=88 	 commit=4bd10b6fe81c0a56eb9e01e24fba10e655966870 	 equal=25 	 total=88 	 percentage=28.40909090909091
iteration=89 	 commit=59e565d9555c07e82808d8c1db8f4f4d159b5e5c 	 equal=25 	 total=89 	 percentage=28.08988764044944
iteration=90 	 commit=6188f3a654c0380db08eb40a5465ce8e71c784f5 	 equal=25 	 total=90 	 percentage=27.77777777777778
iteration=91 	 commit=7af27ef59da4051914d93d8b63efac663b64765a 	 equal=25 	 total=91 	 percentage=27.472527472527474
iteration=92 	 commit=0ceada8da92135717d31a3954b5b89a954f9e71a 	 equal=25 	 total=92 	 percentage=27.173913043478258
iteration=93 	 commit=f9d29b0c442447ebe429bcaad1e2b4bf13c5dc93 	 equal=25 	 total=93 	 percentage=26.881720430107524
iteration=94 	 commit=409256b7849ec5ab3296cb0ab9eba3d65955d5ea 	 equal=25 	 total=94 	 percentage=26.595744680851062
iteration=95 	 commit=b17178b27a55bd5eeb51538bec935972fd58f1ea 	 equal=25 	 total=95 	 percentage=26.31578947368421
iteration=96 	 commit=e1ceea56740ea119e4ead68c4389407024da523d 	 equal=25 	 total=96 	 percentage=26.041666666666668
iteration=97 	 commit=748d6d4e7a1ac247071f6354f2700d1d0ee46b24 	 equal=25 	 total=97 	 percentage=25.773195876288657
iteration=98 	 commit=e2ea3b31c94bb3e1da27c233661cb2a16699c685 	 equal=26 	 total=98 	 percentage=26.53061224489796
iteration=99 	 commit=23051e830a8b212f831443eb888e93e30fa8bb19 	 equal=27 	 total=99 	 percentage=27.27272727272727
iteration=100 	 commit=f15589f3b0da477e5dda8863cbf4c0b36469e36d 	 equal=27 	 total=100 	 percentage=27.0
iteration=101 	 commit=754ca0060fcac9829cfb90dd68d96cbe14aa84f7 	 equal=28 	 total=101 	 percentage=27.722772277227726
iteration=102 	 commit=c36ced53c92088748c278764acb68dfb66f353c9 	 equal=29 	 total=102 	 percentage=28.431372549019606
iteration=103 	 commit=d41c36bf67d6628bccd91697e7f88e55d40d3970 	 equal=29 	 total=103 	 percentage=28.155339805825243
iteration=104 	 commit=d9d2904f09a8039522dfd6f118d4e37bffd5bdf6 	 equal=30 	 total=104 	 percentage=28.846153846153843
iteration=105 	 commit=65d2294454ab68d164154c7ce05caa50bd97d143 	 equal=31 	 total=105 	 percentage=29.523809523809526
iteration=106 	 commit=131e3fd814a6e818b412407a222186aab08f3525 	 equal=31 	 total=106 	 percentage=29.245283018867923
iteration=107 	 commit=9d067ab73b6befa0a5418f1df35c711f6c6918b3 	 equal=31 	 total=107 	 percentage=28.971962616822427
iteration=108 	 commit=2f4162bc473b995117e95c88230f637ca3e1c866 	 equal=31 	 total=108 	 percentage=28.703703703703702
iteration=109 	 commit=ab1aca94e83d2eff1605ea1854df023c814cef21 	 equal=31 	 total=109 	 percentage=28.440366972477065
iteration=110 	 commit=d28265256110a0c5437247d443ddedc2a7aab116 	 equal=31 	 total=110 	 percentage=28.18181818181818
iteration=111 	 commit=58216600eba27d472de33dbb89e2f3e629bf8a59 	 equal=31 	 total=111 	 percentage=27.927927927927925
iteration=112 	 commit=94cbe4651156a84dd9114d7daaa61acd050adbe0 	 equal=31 	 total=112 	 percentage=27.67857142857143
iteration=113 	 commit=69b71a69197de0cb6f7f58f5d7c55d9a9a6e529d 	 equal=31 	 total=113 	 percentage=27.43362831858407
iteration=114 	 commit=d742a193e57029d973aff0a5eb04d8ddd03fa0ff 	 equal=31 	 total=114 	 percentage=27.192982456140353
iteration=115 	 commit=e4a38eb0e828e9589c391171e2e1904a3b9698e7 	 equal=32 	 total=115 	 percentage=27.82608695652174
iteration=116 	 commit=f07de225762ee0f2d5b411b948b3c6e28e0695d3 	 equal=32 	 total=116 	 percentage=27.586206896551722
iteration=117 	 commit=52c86797608f1bf927be5bab1e9b97b7d35bdf2c 	 equal=33 	 total=117 	 percentage=28.205128205128204
iteration=118 	 commit=849b2ecbd28793408d21ebd734525ab56ae5ca1e 	 equal=33 	 total=118 	 percentage=27.966101694915253
iteration=119 	 commit=30528049f1d11ea2854a6431e8e8524f83206559 	 equal=33 	 total=119 	 percentage=27.73109243697479
iteration=120 	 commit=9a89fb1c9dfeda4640780111f9e9437f08cfad88 	 equal=33 	 total=120 	 percentage=27.500000000000004
iteration=121 	 commit=c23cc86c542449db47bdb21e9550203309bef045 	 equal=33 	 total=121 	 percentage=27.27272727272727
iteration=122 	 commit=171dcd7d745566e69c61845599705707500a104e 	 equal=33 	 total=122 	 percentage=27.049180327868854
iteration=123 	 commit=5aa36e894f5a0348dfd19bd9cdcdd27ce8aa5f05 	 equal=33 	 total=123 	 percentage=26.82926829268293
iteration=124 	 commit=9ecd446141f572252a57cb33d2bba6aa00d96a55 	 equal=33 	 total=124 	 percentage=26.61290322580645
iteration=125 	 commit=fb172d0a929432856983a51d4139f705d4c01365 	 equal=33 	 total=125 	 percentage=26.400000000000002
iteration=126 	 commit=0085db4596df99b43fc245f71ee444da68cb830b 	 equal=33 	 total=126 	 percentage=26.190476190476193
iteration=127 	 commit=490d42b5f89563a94994505c75e24086b0a487e6 	 equal=34 	 total=127 	 percentage=26.77165354330709
iteration=128 	 commit=287b302acb8d925178e9edb800f0a8d18c7d35f6 	 equal=34 	 total=128 	 percentage=26.5625
iteration=129 	 commit=5d8ce05b3f6fad79e37ed21c1076e47a322472c6 	 equal=34 	 total=129 	 percentage=26.356589147286826
iteration=130 	 commit=f83de8e34e24e30acf277f60de62a33bd51d1ddd 	 equal=34 	 total=130 	 percentage=26.153846153846157
iteration=131 	 commit=9f791535cde1539338f6ba1b9154006595d97fe7 	 equal=34 	 total=131 	 percentage=25.954198473282442
iteration=132 	 commit=fbaf040f5effae90214887d10bfac710b836f281 	 equal=35 	 total=132 	 percentage=26.515151515151516
iteration=133 	 commit=e51564d1bee5aa8b411328d7d3d75906dfc0a260 	 equal=36 	 total=133 	 percentage=27.06766917293233
iteration=134 	 commit=98ec7995912af0aaaf9a97c5bc1be17e9b601af9 	 equal=37 	 total=134 	 percentage=27.611940298507463
iteration=135 	 commit=b6888a158b43c7391e2e4837cf4ae91e8c5e8371 	 equal=37 	 total=135 	 percentage=27.40740740740741
iteration=136 	 commit=613513d09f89834bea1810bc09b9296560328d92 	 equal=37 	 total=136 	 percentage=27.205882352941174
iteration=137 	 commit=8496112a18c887449d37e5aadbb6daec34ae54c0 	 equal=38 	 total=137 	 percentage=27.73722627737226
iteration=138 	 commit=6bc0f13505bf5d4f613d725fe008c79e72f83ddf 	 equal=39 	 total=138 	 percentage=28.26086956521739
iteration=139 	 commit=8a89da07baf43f0dea4b06a7b2780302d75cb61c 	 equal=39 	 total=139 	 percentage=28.05755395683453
iteration=140 	 commit=f849885a4b49f2d766e6befc67475c05240023eb 	 equal=39 	 total=140 	 percentage=27.857142857142858
iteration=141 	 commit=f7ce7e5faae69fcab0126d8bfd34b685f1dcb019 	 equal=39 	 total=141 	 percentage=27.659574468085108
iteration=142 	 commit=65141832d29824ebfbf26e8af9e6e4b8549518d4 	 equal=39 	 total=142 	 percentage=27.464788732394368
iteration=143 	 commit=f13dc59416afa8fc93bb3d784d1a73e49e1b5b09 	 equal=39 	 total=143 	 percentage=27.27272727272727
iteration=144 	 commit=7c3cb71fa48fbe84d9d9c664eb646446fb80898b 	 equal=40 	 total=144 	 percentage=27.77777777777778
iteration=145 	 commit=68109afcdb59a7eeb75bacf055abce3e56a53645 	 equal=40 	 total=145 	 percentage=27.586206896551722
iteration=146 	 commit=9cf3299fafa41718e3cb260cc94d1d29bba6335b 	 equal=41 	 total=146 	 percentage=28.08219178082192
iteration=147 	 commit=b9b554e0f68726b19274209ea6ce910b7e9f5fbf 	 equal=41 	 total=147 	 percentage=27.89115646258503
iteration=148 	 commit=0dc5deca1c0182a4a3db2fcfd7bc721f27fb352b 	 equal=41 	 total=148 	 percentage=27.7027027027027
iteration=149 	 commit=b4c353434f28f3e9d4c45e61d42b4fd07d76cad2 	 equal=41 	 total=149 	 percentage=27.516778523489933
iteration=150 	 commit=71f70df3271f6e8ae9e8efcaef3be19f8d37c161 	 equal=42 	 total=150 	 percentage=28.000000000000004
iteration=151 	 commit=663f83f647f9199541ce1b60a6496b4124b4fdd3 	 equal=42 	 total=151 	 percentage=27.81456953642384
iteration=152 	 commit=ae5b5ba529753c7a653901ffc29b5ea24c3fdf3a 	 equal=42 	 total=152 	 percentage=27.631578947368425
iteration=153 	 commit=a585eae6e7ada1ca9271607a4f48dfb17868ab7b 	 equal=42 	 total=153 	 percentage=27.450980392156865
iteration=154 	 commit=d2c2e32e8a0f649099de0e9d04b5a72037b7b138 	 equal=42 	 total=154 	 percentage=27.27272727272727
iteration=155 	 commit=8c7c9ea06502b8caa5224bf74c90a8885dbe0d42 	 equal=42 	 total=155 	 percentage=27.09677419354839
iteration=156 	 commit=a6da1472c0c5e05ff249325f979531ad51533110 	 equal=43 	 total=156 	 percentage=27.564102564102566
iteration=157 	 commit=34affe7a63fc5d842580a9f23616d057e17dfe27 	 equal=43 	 total=157 	 percentage=27.388535031847134
iteration=158 	 commit=a2195644d89812e5b157ce7bac35543e06db05e3 	 equal=43 	 total=158 	 percentage=27.21518987341772
iteration=159 	 commit=1ecfbfa1a1debd2258decdf7c1954ac6f9761699 	 equal=43 	 total=159 	 percentage=27.044025157232703
iteration=160 	 commit=e1d8770f12542d34a3e32b825c95b93f8a341ee1 	 equal=43 	 total=160 	 percentage=26.875
iteration=161 	 commit=0f1cd0eba99ea6d383e75b9ae488d00ad541c210 	 equal=43 	 total=161 	 percentage=26.70807453416149
iteration=162 	 commit=127e7a6c8942b362aa3c6627f44d660a4fb75312 	 equal=44 	 total=162 	 percentage=27.160493827160494
iteration=163 	 commit=6f5bd5072dff07679c390eecfeaa9d20cc45a9ef 	 equal=44 	 total=163 	 percentage=26.993865030674847
iteration=164 	 commit=56ec4322817b0e9aef6084c278dcf24fda7bed1c 	 equal=45 	 total=164 	 percentage=27.439024390243905
iteration=165 	 commit=31b8c2d4380a762d1ed6a7faee74a1d107f86014 	 equal=46 	 total=165 	 percentage=27.878787878787882
iteration=166 	 commit=eb41999461b6f428186c55abd95f4ce1a76217d5 	 equal=46 	 total=166 	 percentage=27.710843373493976
iteration=167 	 commit=314c6057b785cd94ac88905ccfce61724107d66b 	 equal=46 	 total=167 	 percentage=27.54491017964072
iteration=168 	 commit=d39ea8b3ce684728c1ad5005192766d39d2e8baa 	 equal=47 	 total=168 	 percentage=27.976190476190478
iteration=169 	 commit=6298903e35217ab69c279056f925fb72900ce0b7 	 equal=47 	 total=169 	 percentage=27.810650887573964
iteration=170 	 commit=b57574d6fb9071b2f8f261b32c9378ed72db7023 	 equal=47 	 total=170 	 percentage=27.647058823529413
iteration=171 	 commit=bfcf06d91a87b7ffb8c83e290db0cb6176a167f8 	 equal=47 	 total=171 	 percentage=27.485380116959064
iteration=172 	 commit=0280407fc54f9b6225139c5ac27326f98f0cf043 	 equal=48 	 total=172 	 percentage=27.906976744186046
iteration=173 	 commit=ae809e9fd132ab867741a6a777450f9bc0d49be4 	 equal=49 	 total=173 	 percentage=28.32369942196532
iteration=174 	 commit=e96385adede47a1abf160a41565ec742d3d4e413 	 equal=49 	 total=174 	 percentage=28.160919540229884
iteration=175 	 commit=56a165bf0f061f7aff744fafd44691a2beb4b035 	 equal=49 	 total=175 	 percentage=28.000000000000004
iteration=176 	 commit=422ce50d2e8856ed789d1359c673122dbb0088ea 	 equal=50 	 total=176 	 percentage=28.40909090909091
iteration=177 	 commit=c33b1728aeb7dfeec4013562660e07d32697aa6b 	 equal=50 	 total=177 	 percentage=28.24858757062147
iteration=178 	 commit=a304199836ef37af6912a1da6f9b6cad33466a84 	 equal=51 	 total=178 	 percentage=28.651685393258425
iteration=179 	 commit=6d7cd31feec58011a593cf732274a33dcc1bcb53 	 equal=51 	 total=179 	 percentage=28.49162011173184
iteration=180 	 commit=993c58fde3a85c27f52f094002ec57dabca81028 	 equal=51 	 total=180 	 percentage=28.333333333333332
iteration=181 	 commit=d49b2887282b86a5e6f40a386511aa8040f3c7b0 	 equal=52 	 total=181 	 percentage=28.7292817679558
iteration=182 	 commit=69e84805e48b0253007bd0daf481ce7955367d73 	 equal=52 	 total=182 	 percentage=28.57142857142857
iteration=183 	 commit=364e569945c044fd18c70ee1bc851364534aef97 	 equal=53 	 total=183 	 percentage=28.96174863387978
iteration=184 	 commit=63295f1f7fa052fabcb4d69d49203cf33a7deef0 	 equal=53 	 total=184 	 percentage=28.804347826086957
iteration=185 	 commit=50523b107d5bcc8069b1aec4b5b11b3fcc87da8d 	 equal=53 	 total=185 	 percentage=28.64864864864865
iteration=186 	 commit=aa8d4a782d88738b3ea921cde5a450656da8fa63 	 equal=54 	 total=186 	 percentage=29.03225806451613
iteration=187 	 commit=efcf24be0c22cba57b298161bf4ab0561fd3c08e 	 equal=54 	 total=187 	 percentage=28.87700534759358
iteration=188 	 commit=17dbaa8639505c9ad1a9946591f5960123fbd741 	 equal=54 	 total=188 	 percentage=28.723404255319153
iteration=189 	 commit=9514abc2da3525ef4314a8fcf70982ad07319e51 	 equal=54 	 total=189 	 percentage=28.57142857142857
iteration=190 	 commit=0be57b9b6d1a4ea8d41c9c9b9b434b4749ccbb27 	 equal=54 	 total=190 	 percentage=28.421052631578945
iteration=191 	 commit=61a4e64a6667bedaa882571c48a173ef5a4ba73b 	 equal=55 	 total=191 	 percentage=28.79581151832461
iteration=192 	 commit=9a6f47f0edfded799f7cb6fd719bb0071b326100 	 equal=55 	 total=192 	 percentage=28.645833333333332
iteration=193 	 commit=948fb628d9d7242acfe1c3fe1f099ef228e38ead 	 equal=56 	 total=193 	 percentage=29.015544041450774
iteration=194 	 commit=a901c505abffd13e96a7d304393bb759aad87e59 	 equal=57 	 total=194 	 percentage=29.381443298969074
iteration=195 	 commit=0ddc0f47bd2a03678e1afbc384550aecb55a318f 	 equal=57 	 total=195 	 percentage=29.230769230769234
iteration=196 	 commit=cac075a1221f373053196dbb24bdcff4609b8241 	 equal=58 	 total=196 	 percentage=29.591836734693878
iteration=197 	 commit=9e0a8475cdd53af664b807c4f0c4d53088a7faf2 	 equal=58 	 total=197 	 percentage=29.441624365482234
iteration=198 	 commit=7ccc6d8290143009d2bab8f4330bbf443fc25846 	 equal=59 	 total=198 	 percentage=29.797979797979796
iteration=199 	 commit=7288528a1e081d101a1bc19346a974088b6b8315 	 equal=60 	 total=199 	 percentage=30.15075376884422
iteration=200 	 commit=513559cc4760392b6fa33754c516683ef49dba22 	 equal=60 	 total=200 	 percentage=30.0
iteration=201 	 commit=e4607523234f16ed9ed0436340b9315377dbfe7f 	 equal=60 	 total=201 	 percentage=29.850746268656714
iteration=202 	 commit=92594f09395800f6f085ca7501ffd1f7aef25e22 	 equal=60 	 total=202 	 percentage=29.7029702970297
iteration=203 	 commit=e8a52281d9cba1c8dd49a06e7523d7e39794ecc1 	 equal=61 	 total=203 	 percentage=30.049261083743843
iteration=204 	 commit=6eb53b752617fae9e1329bfe2cfecdcbb593c398 	 equal=61 	 total=204 	 percentage=29.901960784313726
iteration=205 	 commit=9b7987a9d1471ba94764286b28e0998f73deb46a 	 equal=61 	 total=205 	 percentage=29.756097560975608
iteration=206 	 commit=28ef7061bbcce39590c97a2ad662e0b60f7adab5 	 equal=61 	 total=206 	 percentage=29.61165048543689
iteration=207 	 commit=46c3587a6feb28e1ee4a32aabe463b0ecb9e8f5e 	 equal=61 	 total=207 	 percentage=29.468599033816425
iteration=208 	 commit=69c7139ff88bf26e05d80bf19d0351e5c88d13a3 	 equal=61 	 total=208 	 percentage=29.326923076923077
iteration=209 	 commit=5ff408d2189c6c24fdf8908db4a31432bbdd6f15 	 equal=61 	 total=209 	 percentage=29.1866028708134
iteration=210 	 commit=e3c83835e7b396ab7db538fb3b052f02d7807dee 	 equal=61 	 total=210 	 percentage=29.04761904761905
iteration=211 	 commit=bd1b87c5790c0c6fe23f76aa360e879922e1e738 	 equal=61 	 total=211 	 percentage=28.90995260663507
iteration=212 	 commit=d7bb8df8414f71a290c8a4b1c9f7c6fe839a94df 	 equal=62 	 total=212 	 percentage=29.245283018867923
iteration=213 	 commit=c646e57fd6307bd891e4e50ef5d6ee56b34e4cac 	 equal=62 	 total=213 	 percentage=29.107981220657276
iteration=214 	 commit=e0ab13c62f2c1af0af955f173beb3ea6473e8064 	 equal=62 	 total=214 	 percentage=28.971962616822427
