nohup: ignoring input
iteration=0 	 commit=89d9ef3ee83c6cd0b048b3dc8dabddfe690b5579 	 equal=0 	 total=0 	 percentage=0.0
iteration=83 	 commit=5948abfe993ce85dc7d1b2945828b0dd09bdf1f7 	 equal=0 	 total=83 	 percentage=0.0
iteration=84 	 commit=6f95273e44f43a2782af8dc3f6f09b59eb665a21 	 equal=0 	 total=84 	 percentage=0.0
iteration=85 	 commit=0596d67ddc79c0c23370d92d4ecf0656f998c1e7 	 equal=0 	 total=85 	 percentage=0.0
iteration=86 	 commit=f872aa1807d28913b8532f996e427453555f3309 	 equal=0 	 total=86 	 percentage=0.0
iteration=87 	 commit=97fe12791a2509302e590f0c1b3bba077a64637b 	 equal=0 	 total=87 	 percentage=0.0
iteration=88 	 commit=00e618eb0a8a924ee4ba06e3647673310dc856b5 	 equal=0 	 total=88 	 percentage=0.0
iteration=89 	 commit=d85245f9349db5766c9fedfa8c933de236330a7b 	 equal=0 	 total=89 	 percentage=0.0
iteration=90 	 commit=9f4cb84c620bf9a6b7c4880f027e28511349a975 	 equal=0 	 total=90 	 percentage=0.0
iteration=91 	 commit=e4c91f7473be4e69d6915170dd3fbca9c4b4b7df 	 equal=0 	 total=91 	 percentage=0.0
iteration=92 	 commit=9277abe25be0fb41dfa5294a487601594bfcf6ee 	 equal=0 	 total=92 	 percentage=0.0
iteration=93 	 commit=87a99270423967eb49a865ca78bc31c01050ce2f 	 equal=0 	 total=93 	 percentage=0.0
iteration=94 	 commit=fe6890e292c3d23c6196be10887c0aaaedd3ef47 	 equal=0 	 total=94 	 percentage=0.0
iteration=95 	 commit=67953a9f1153e7bd805916e50b4ed43f1ec0bb21 	 equal=0 	 total=95 	 percentage=0.0
iteration=96 	 commit=3cc64a88d489edf72af7bb0b40d956a9b39ba0c2 	 equal=0 	 total=96 	 percentage=0.0
iteration=97 	 commit=dbfe6151ffa4366f490648fc1097bfbc4271a097 	 equal=0 	 total=97 	 percentage=0.0
iteration=98 	 commit=1b7d4e2bccf5312733b2f7d8ee237443c162f906 	 equal=0 	 total=98 	 percentage=0.0
iteration=99 	 commit=6e169c1490a113cdf309f2ac9c70772db0df033a 	 equal=0 	 total=99 	 percentage=0.0
iteration=100 	 commit=eb4c1bf85545db74b4f8fa42ffb09c92b847b271 	 equal=0 	 total=100 	 percentage=0.0
iteration=101 	 commit=66fb340a0d2f19fa94ceed3d66325d9882d7ae84 	 equal=0 	 total=101 	 percentage=0.0
iteration=102 	 commit=ae728bb8729e4b4b9a099c51056b69f01297ff2b 	 equal=0 	 total=102 	 percentage=0.0
iteration=103 	 commit=46c658b025b10a0b4266a34c93adfaf4e3a57425 	 equal=0 	 total=103 	 percentage=0.0
iteration=104 	 commit=967534504827fa79d39903ab0f94a7583a3925b9 	 equal=0 	 total=104 	 percentage=0.0
iteration=105 	 commit=7c0253aadfe0ce69b077b66bf74fa26ff17728d1 	 equal=0 	 total=105 	 percentage=0.0
iteration=106 	 commit=51c88c6f8d7b554847569fd6ba3e3b2aed646325 	 equal=0 	 total=106 	 percentage=0.0
iteration=107 	 commit=1a013ba711dd1a3825f4e2d4c0022d43c7bd860f 	 equal=0 	 total=107 	 percentage=0.0
iteration=108 	 commit=0aad075c6b090b6e3d1413951e3a5f34780435b7 	 equal=0 	 total=108 	 percentage=0.0
iteration=109 	 commit=9669bd68a34c23afbe70fc2f1123f54ed4d49fed 	 equal=0 	 total=109 	 percentage=0.0
iteration=110 	 commit=f86082359b6b95fc5ed2e2614f641df79040b43f 	 equal=0 	 total=110 	 percentage=0.0
iteration=111 	 commit=3ba59b934927623a1fd591e9f2ea1a8d58dfc3c2 	 equal=0 	 total=111 	 percentage=0.0
iteration=112 	 commit=91b3d3f95ba5cbafe619336c468916f950efa407 	 equal=0 	 total=112 	 percentage=0.0
iteration=113 	 commit=d7f11fd06642dde05baacda849a377175970e52c 	 equal=0 	 total=113 	 percentage=0.0
iteration=114 	 commit=477f6de3947309c9da45a9dd5dc129c639c0dc44 	 equal=0 	 total=114 	 percentage=0.0
iteration=115 	 commit=483de2c21dc25aaad9ca027a0052d8f48415cac8 	 equal=0 	 total=115 	 percentage=0.0
iteration=116 	 commit=9a9dd31ba60bdf4d15c7739958551c05b6d754cb 	 equal=0 	 total=116 	 percentage=0.0
iteration=117 	 commit=d68c163723c74cc571cf368f8034dc4117926dfc 	 equal=0 	 total=117 	 percentage=0.0
iteration=118 	 commit=328456bf29b32897bcfcc13f106ec4f975ac5d8a 	 equal=0 	 total=118 	 percentage=0.0
iteration=119 	 commit=fe564967c97c5059a0d95401f73d3c741613fe14 	 equal=0 	 total=119 	 percentage=0.0
iteration=120 	 commit=f0904f326624d1ccfc55fca61c64ce088f41faae 	 equal=0 	 total=120 	 percentage=0.0
iteration=121 	 commit=2510f43cbad2532adc2ea0b362021eb1b4eea561 	 equal=0 	 total=121 	 percentage=0.0
iteration=122 	 commit=92bce68c0d6741c9171e596619fc20dfa66e8cea 	 equal=0 	 total=122 	 percentage=0.0
iteration=123 	 commit=e7d1c53a49cac5eab6324809d169ec94c87f4699 	 equal=0 	 total=123 	 percentage=0.0
iteration=124 	 commit=03bb929390a5cac451f720ab581817684ecddb8e 	 equal=0 	 total=124 	 percentage=0.0
iteration=125 	 commit=e6adc19fff785120140a45e9e43e43d1599895a2 	 equal=0 	 total=125 	 percentage=0.0
iteration=126 	 commit=bdd482c2ec88997f74302dd384bdd1c97a1a5718 	 equal=0 	 total=126 	 percentage=0.0
iteration=127 	 commit=a0f9211b5201f69844154ae80cf25115c3c19610 	 equal=0 	 total=127 	 percentage=0.0
iteration=128 	 commit=ff05c94a6e45924402045b1fec602b2deb5ce3cf 	 equal=0 	 total=128 	 percentage=0.0
iteration=129 	 commit=343bf0d39bf661ac5a3ae2e9251f489c5d1eb471 	 equal=0 	 total=129 	 percentage=0.0
iteration=130 	 commit=c35628a24c33c6c3d2d9a9998bcc90e54b1757ea 	 equal=0 	 total=130 	 percentage=0.0
iteration=131 	 commit=798bdf13f6964a650b9a0b7b4b3a769f6f1d509a 	 equal=0 	 total=131 	 percentage=0.0
iteration=132 	 commit=094fc08a09a75feb694837b580bad0401d1e6a0a 	 equal=0 	 total=132 	 percentage=0.0
iteration=133 	 commit=2732b234665ebfcfe33bfb962a7c40cb7031c6c4 	 equal=0 	 total=133 	 percentage=0.0
iteration=134 	 commit=dea91c97debeac7c1aaf9c19f79029809e23a353 	 equal=0 	 total=134 	 percentage=0.0
iteration=135 	 commit=ec6e3efb06d7b15cf5a2328fabd3845acea4c815 	 equal=0 	 total=135 	 percentage=0.0
iteration=136 	 commit=22f1521122402bee88b58a463af58b5ab865dc3f 	 equal=0 	 total=136 	 percentage=0.0
iteration=137 	 commit=92d9ab4c28842a09ca2b76d3ff2f933e01b6cd6f 	 equal=0 	 total=137 	 percentage=0.0
iteration=138 	 commit=3e1aad4fe584747fd7d17cc7b2863a78e2d21a77 	 equal=0 	 total=138 	 percentage=0.0
iteration=139 	 commit=13ad8736d294536da4cbcd70a96b0a2fbf47070c 	 equal=0 	 total=139 	 percentage=0.0
iteration=140 	 commit=a46e85f6698af712dc8bee683431c70d35e456ff 	 equal=0 	 total=140 	 percentage=0.0
iteration=141 	 commit=a1cac3bbe48c9f3f74da61128a8f5b27bae247e4 	 equal=0 	 total=141 	 percentage=0.0
iteration=142 	 commit=2c0f2f0341372e6fa216298aa062e2ad224ffd39 	 equal=0 	 total=142 	 percentage=0.0
iteration=143 	 commit=b92b16f659bcafa3e9ddb635ba82d719deb8562a 	 equal=0 	 total=143 	 percentage=0.0
iteration=144 	 commit=7d4060d252354a8d650a3c50256fe3679a40691d 	 equal=0 	 total=144 	 percentage=0.0
iteration=145 	 commit=4fc473d7e884ce5315c85febf28c2daeaca9ae0b 	 equal=0 	 total=145 	 percentage=0.0
iteration=146 	 commit=85b1792e37b131e7a51af98a37f92472e8de5f3f 	 equal=0 	 total=146 	 percentage=0.0
iteration=147 	 commit=a7b9f3ebdfc761d6f21c83cab976f785633bf75f 	 equal=0 	 total=147 	 percentage=0.0
iteration=148 	 commit=b48e77cf4f6fa0792c5f4b639707a2b0675e461b 	 equal=0 	 total=148 	 percentage=0.0
iteration=149 	 commit=e1bcffea180d6cc0651757bb64284a763e0e2239 	 equal=0 	 total=149 	 percentage=0.0
iteration=150 	 commit=8598060bacada41a0eb09d95c97744ff4e428f8e 	 equal=0 	 total=150 	 percentage=0.0
iteration=151 	 commit=bfd2f4300fb348a0fb8265a17546a0eb8bdec719 	 equal=0 	 total=151 	 percentage=0.0
iteration=152 	 commit=ce00c36e654f0a5291d48bc437e807daecbd8449 	 equal=0 	 total=152 	 percentage=0.0
iteration=153 	 commit=de5b624f10e9d29ff1b3bbc07358774a3725898e 	 equal=0 	 total=153 	 percentage=0.0
iteration=154 	 commit=3e80560d4bbf2768c90b9a017743ec45f26c3c1c 	 equal=0 	 total=154 	 percentage=0.0
iteration=155 	 commit=7279d236364739a05657a8a614c15990eb08d0c6 	 equal=0 	 total=155 	 percentage=0.0
iteration=156 	 commit=33468d7e7080e384ad703a2369003cf18b2ad91d 	 equal=0 	 total=156 	 percentage=0.0
iteration=157 	 commit=babe75030c7f64a37826bb3342317134568bef61 	 equal=0 	 total=157 	 percentage=0.0
iteration=158 	 commit=5465a8e57fe620ceb8efa534e1d6790f423d6bba 	 equal=0 	 total=158 	 percentage=0.0
iteration=159 	 commit=1098c30a040e72a4654968547f415be4e4c40fe7 	 equal=0 	 total=159 	 percentage=0.0
iteration=160 	 commit=72b3c067cedbb80dbbac755cca79ff502c858ad5 	 equal=0 	 total=160 	 percentage=0.0
iteration=161 	 commit=bf22713507fe1fc3a2c4b525cf0a88c2dc87a3a2 	 equal=0 	 total=161 	 percentage=0.0
iteration=162 	 commit=1358d157d0bd83be1dfe356a69213df9fac0b539 	 equal=0 	 total=162 	 percentage=0.0
iteration=163 	 commit=fb08d9fe837ab64934e6ddc66d442e599c805ca4 	 equal=0 	 total=163 	 percentage=0.0
iteration=164 	 commit=d3a02679b87443c6034cf36ad0c007070edf663b 	 equal=0 	 total=164 	 percentage=0.0
iteration=165 	 commit=868e49cffdbfddeab0d1c391e0ce7f4f98ea59a1 	 equal=0 	 total=165 	 percentage=0.0
iteration=166 	 commit=d25460da14cd31ab807c77580da5a8efcacae97b 	 equal=0 	 total=166 	 percentage=0.0
iteration=167 	 commit=e20c9c148c725e2933efa143ee6a543a5cae4204 	 equal=0 	 total=167 	 percentage=0.0
iteration=168 	 commit=c3fd8c429591e06eb847c11bc9273d13b3450d53 	 equal=0 	 total=168 	 percentage=0.0
iteration=169 	 commit=683de7efe4a4178d62fab85d8c5f4c3bed36b984 	 equal=0 	 total=169 	 percentage=0.0
iteration=170 	 commit=8095365b77ca820dc565f3c37165d320db917ee1 	 equal=0 	 total=170 	 percentage=0.0
iteration=171 	 commit=b25acce858d4eea49b02b5d4e32708b914107b29 	 equal=0 	 total=171 	 percentage=0.0
iteration=172 	 commit=ad101bb5b59c48a04ced94eec918896be47c1861 	 equal=0 	 total=172 	 percentage=0.0
iteration=173 	 commit=a6e6498fb1d11f08c394ecbf69add6cfff815db0 	 equal=0 	 total=173 	 percentage=0.0
iteration=174 	 commit=8446d4593e06f38572d86f159182c7a59880bad1 	 equal=0 	 total=174 	 percentage=0.0
iteration=175 	 commit=688b41a0fb06cf1ab5173308f6a8db5089ba6e14 	 equal=0 	 total=175 	 percentage=0.0
iteration=176 	 commit=ce2fbaa89da627a6c6cd6344d5339a76feba94b5 	 equal=0 	 total=176 	 percentage=0.0
iteration=177 	 commit=85c817a200b188148e78dee8f7c767d80424a86b 	 equal=0 	 total=177 	 percentage=0.0
iteration=178 	 commit=f9ccb3b818d37f7fc85017bf206e471cb37fbc82 	 equal=0 	 total=178 	 percentage=0.0
iteration=179 	 commit=88c657d6439f0b3262099d408a3163af82e0e472 	 equal=0 	 total=179 	 percentage=0.0
iteration=180 	 commit=7a90bdfae62732b1fc4ff28d874cb1c51d299c0a 	 equal=0 	 total=180 	 percentage=0.0
iteration=181 	 commit=0fb3ae584085ce56bedbe2c5e7359f1ed9da238e 	 equal=0 	 total=181 	 percentage=0.0
iteration=182 	 commit=0987001c1be6a1ebc8f7927d81097a0ed509958a 	 equal=0 	 total=182 	 percentage=0.0
iteration=183 	 commit=de1b51eddcc17fd7ed1bbcc6d5d7d529407dfbe2 	 equal=0 	 total=183 	 percentage=0.0
iteration=184 	 commit=09320f0551c8956c3fecc036dd11d63f3ee71aae 	 equal=0 	 total=184 	 percentage=0.0
iteration=185 	 commit=dcb80b92da0417bc5b3d97ab8a61381973f1711b 	 equal=0 	 total=185 	 percentage=0.0
iteration=186 	 commit=02bee4c41444fa5c50e3b9ad5f851656b6d0b086 	 equal=0 	 total=186 	 percentage=0.0
iteration=187 	 commit=4defa2c24a6d21a7b8f712dd2ea39f43ff113307 	 equal=0 	 total=187 	 percentage=0.0
iteration=188 	 commit=cbe1212db6e22fa92c33242c3ce089476585f872 	 equal=0 	 total=188 	 percentage=0.0
iteration=189 	 commit=01411e7c5ea0fff181271e092f46a2138c3720ec 	 equal=0 	 total=189 	 percentage=0.0
iteration=190 	 commit=07920b4381873187c02df53fa9b5d44aff3a7041 	 equal=0 	 total=190 	 percentage=0.0
iteration=191 	 commit=2065d340908133b707b62351e12d919cfef9ac94 	 equal=0 	 total=191 	 percentage=0.0
iteration=192 	 commit=afad37216b7aaf6c4faf60cce7358a7bbc04c2b1 	 equal=0 	 total=192 	 percentage=0.0
iteration=193 	 commit=ec808a44156d2464ee0e604979bde794213f61ef 	 equal=0 	 total=193 	 percentage=0.0
iteration=194 	 commit=e6495e47890afacfc3513a9161671e8d228ccc76 	 equal=0 	 total=194 	 percentage=0.0
iteration=195 	 commit=954696e7cf236c3aa71dc0b7f9e70d3f51e5cb07 	 equal=0 	 total=195 	 percentage=0.0
iteration=196 	 commit=acb3566739b019ef020c575b891c39121a2420fe 	 equal=0 	 total=196 	 percentage=0.0
iteration=197 	 commit=f93ca3e140a371b26366f747a408588c631e0fd1 	 equal=0 	 total=197 	 percentage=0.0
iteration=198 	 commit=0048728916c4e058ae898cd4bcfea3ba25734a60 	 equal=0 	 total=198 	 percentage=0.0
iteration=199 	 commit=95519737af0d5c1835d074f61c468ff8da150f56 	 equal=0 	 total=199 	 percentage=0.0
iteration=200 	 commit=c26e45259c3b85c5509849fb771876b0b4ce467f 	 equal=0 	 total=200 	 percentage=0.0
iteration=201 	 commit=ec1198759224427fdf43208c282fa8c52229cc7d 	 equal=0 	 total=201 	 percentage=0.0
iteration=202 	 commit=2377a312b9aeff58ffe0972a370674ced2a37bac 	 equal=0 	 total=202 	 percentage=0.0
iteration=203 	 commit=26835480dc473361fea8b81af8772007e83332f2 	 equal=0 	 total=203 	 percentage=0.0
iteration=204 	 commit=296ab61e1c8f5dd9155c85ffb1a0cd368a54ea8b 	 equal=0 	 total=204 	 percentage=0.0
iteration=205 	 commit=79301d3d5e553d46fc3201f48dcec3a93068c5a2 	 equal=0 	 total=205 	 percentage=0.0
iteration=206 	 commit=45da175c1431d69e74e05a115f0b14cc8c97d886 	 equal=0 	 total=206 	 percentage=0.0
iteration=207 	 commit=1d73f07d67e32d8eaccd85bc46c5d277a1dc00c9 	 equal=0 	 total=207 	 percentage=0.0
iteration=208 	 commit=e2b975c317ae9cb672be459a4ff8761aedb3157c 	 equal=0 	 total=208 	 percentage=0.0
iteration=209 	 commit=a67b63d183f5ab5d5af70fe47ef3a3d53fa3cb09 	 equal=0 	 total=209 	 percentage=0.0
iteration=210 	 commit=29f5d20e84efba6046faee0f8508f6f7e2894af5 	 equal=0 	 total=210 	 percentage=0.0
iteration=211 	 commit=e28d9347bce1ba0b41cd27586b10623edb98b72f 	 equal=0 	 total=211 	 percentage=0.0
iteration=212 	 commit=9086988ffa8da62c25c764a146a84603629734aa 	 equal=0 	 total=212 	 percentage=0.0
iteration=213 	 commit=1fe385304f11332ddb232571d54d36a5aeca0398 	 equal=0 	 total=213 	 percentage=0.0
iteration=214 	 commit=8ca3a59b2ee57e2f30272272bb232c84d03b9edc 	 equal=0 	 total=214 	 percentage=0.0
iteration=215 	 commit=649d02eaa419fa72ae6b131718a4ac77063d7a5a 	 equal=0 	 total=215 	 percentage=0.0
iteration=216 	 commit=cb7a572b3e7f568f1ebc8d91b1b8826a8ce3baa8 	 equal=0 	 total=216 	 percentage=0.0
iteration=217 	 commit=84b76d99f1faea5babe057e4db50135ff53cc7fb 	 equal=0 	 total=217 	 percentage=0.0
iteration=218 	 commit=d0ccb3a6b6b16e809982618bd41d9e919052a47d 	 equal=0 	 total=218 	 percentage=0.0
iteration=219 	 commit=acdc2ff3607fe003c2febc25f28954146b3c1636 	 equal=0 	 total=219 	 percentage=0.0
iteration=220 	 commit=a218ff0ec0ca6da74236b1419e841848a249f011 	 equal=0 	 total=220 	 percentage=0.0
iteration=221 	 commit=94c2e415a9bc1b9e7b7210a9c73817106bb1f175 	 equal=0 	 total=221 	 percentage=0.0
iteration=222 	 commit=1c4f9a6db5c962b8a6978b0046d15b98ff2ebf0f 	 equal=0 	 total=222 	 percentage=0.0
iteration=223 	 commit=faea2fa9b890cc329f33ce518dfa1648e64e14d6 	 equal=0 	 total=223 	 percentage=0.0
iteration=224 	 commit=8272db5318327742368a7046ca85355794958eef 	 equal=0 	 total=224 	 percentage=0.0
iteration=225 	 commit=5c7bdbc906bc532d866d3a94ae35c2402291ea99 	 equal=0 	 total=225 	 percentage=0.0
iteration=226 	 commit=7a62870a3cc7173e61132a8d633f0bf078512e4b 	 equal=0 	 total=226 	 percentage=0.0
