nohup: ignoring input
iteration=0 	 commit=df8a4ee51e18a39f85568c4122e5edd8c03d61df 	 equal=0 	 total=0 	 percentage=0.0
iteration=41 	 commit=5804259f22d4d42ed7c37c9efb613910248cd1d4 	 equal=20 	 total=82 	 percentage=24.390243902439025
iteration=42 	 commit=1eb06156855758e4b1da2adc0334d84d3f857fb1 	 equal=20 	 total=84 	 percentage=23.809523809523807
iteration=43 	 commit=2a49511517678b7e05660bb9a35a614c83229b66 	 equal=20 	 total=86 	 percentage=23.25581395348837
iteration=44 	 commit=e491e935ea355d48519cf0a14e4b060655850675 	 equal=20 	 total=88 	 percentage=22.727272727272727
iteration=45 	 commit=c19469f2a80ebc09bef3fbd603034e43c4a707cd 	 equal=20 	 total=90 	 percentage=22.22222222222222
iteration=46 	 commit=c7a317635cfc6934e975e846335e37a68d6b3876 	 equal=20 	 total=92 	 percentage=21.73913043478261
iteration=47 	 commit=7a708ffd374cd18e9e4bfe8a8e95c02184a074ba 	 equal=22 	 total=94 	 percentage=23.404255319148938
iteration=48 	 commit=5e7aef9df36a07c82b0ab40f80fd8464840f6424 	 equal=24 	 total=96 	 percentage=25.0
iteration=49 	 commit=79789ed3d2798fb34f1c82d950e03a4d41e197de 	 equal=26 	 total=98 	 percentage=26.53061224489796
iteration=50 	 commit=e34e187934e3654989b6af5177f345032623dd9b 	 equal=26 	 total=100 	 percentage=26.0
iteration=51 	 commit=c14dfa44a70ce32bbe1268ddff6106cab3f33bc2 	 equal=27 	 total=102 	 percentage=26.47058823529412
iteration=52 	 commit=92c51751a87b31c4bafa7b0146f745b3008ec9fc 	 equal=29 	 total=104 	 percentage=27.884615384615387
iteration=53 	 commit=46543272dbe7655821e1c794ca3cc22e8cb4cef9 	 equal=29 	 total=106 	 percentage=27.358490566037734
iteration=54 	 commit=327c342a932d8df731ec02a6b22792004206c2db 	 equal=29 	 total=108 	 percentage=26.851851851851855
iteration=55 	 commit=4798ef5298bcfcfadf8e1d66f9200e3c9eee2248 	 equal=29 	 total=110 	 percentage=26.36363636363636
iteration=56 	 commit=f26285f361478219ea9d3c6de1529ecd5ff96ac9 	 equal=31 	 total=112 	 percentage=27.67857142857143
iteration=57 	 commit=8b2079b7250e037599f6640539f8107d93314919 	 equal=31 	 total=114 	 percentage=27.192982456140353
iteration=58 	 commit=41321580f0a13309e5de44eb42851e3c82a5ef8f 	 equal=31 	 total=116 	 percentage=26.72413793103448
iteration=59 	 commit=b14baefb406b8f08f0702edd686ebc7698cb7f15 	 equal=31 	 total=118 	 percentage=26.27118644067797
iteration=60 	 commit=4afe2fb10ab969bfd9895c0ba9d4990c5881b451 	 equal=33 	 total=120 	 percentage=27.500000000000004
iteration=61 	 commit=41c61811fdd6efe2bef34d2ce26520fc6b3c4237 	 equal=35 	 total=122 	 percentage=28.688524590163933
iteration=62 	 commit=2740b3aca81a6a8c690540fc141e5923a1fff460 	 equal=37 	 total=124 	 percentage=29.838709677419356
iteration=63 	 commit=42a6b8651f040f0960802e705b1aea82a956a63b 	 equal=39 	 total=126 	 percentage=30.952380952380953
iteration=64 	 commit=e25d4af6ed9b254db3096a2e483798734296376d 	 equal=41 	 total=128 	 percentage=32.03125
iteration=65 	 commit=e015ab97c1ee3a4ea386ccc86385aad458827d96 	 equal=43 	 total=130 	 percentage=33.07692307692307
iteration=66 	 commit=732903ecf1bdb085cac36eb29d330a7970670064 	 equal=45 	 total=132 	 percentage=34.090909090909086
iteration=67 	 commit=791e024656212c65d798cb69a134cdd3e30cc79e 	 equal=47 	 total=134 	 percentage=35.07462686567165
iteration=68 	 commit=948d392d9acc3d82b86a260c952095a603fe767f 	 equal=49 	 total=136 	 percentage=36.029411764705884
iteration=69 	 commit=73130ae1125c86ebd0ee504d0681d9911ff2cfbd 	 equal=51 	 total=138 	 percentage=36.95652173913043
iteration=70 	 commit=37efb98d77c14c27a22806ec676c13f0a8b99490 	 equal=52 	 total=140 	 percentage=37.142857142857146
iteration=71 	 commit=e3cece1bfc00083637f709f7647b4711b5c6a084 	 equal=53 	 total=142 	 percentage=37.32394366197183
iteration=72 	 commit=8cfe91ae51fa50e66217c6bbcb236ec3a267e45e 	 equal=53 	 total=144 	 percentage=36.80555555555556
iteration=73 	 commit=b1016f574ac63fa269ca5125827895220e1df883 	 equal=55 	 total=146 	 percentage=37.67123287671233
iteration=74 	 commit=248aa0f5832ce063a9ae061dfcf54596e0ea5fba 	 equal=57 	 total=148 	 percentage=38.513513513513516
iteration=75 	 commit=f93fa48839be2937cd7ce38c14884428416bcc4b 	 equal=59 	 total=150 	 percentage=39.33333333333333
iteration=76 	 commit=f65f60e5d3f5e4109a79212a9994b5096a2a2a8d 	 equal=60 	 total=152 	 percentage=39.473684210526315
iteration=77 	 commit=7342327039dfc750934f3ce7ff0bdb6bc585151c 	 equal=60 	 total=154 	 percentage=38.961038961038966
iteration=78 	 commit=a89e7474fcd9e7e6dd1330c585130346aa862598 	 equal=60 	 total=156 	 percentage=38.46153846153847
WARNING: Could not compile fuzz targets!
iteration=79 	 commit=7f550e88d86482adcfab6e054ff14588b32b692a 	 equal=60 	 total=156 	 percentage=38.46153846153847
WARNING: Could not compile fuzz targets!
iteration=80 	 commit=4b237953b187f38c90b9a747f587cbc277db6d45 	 equal=60 	 total=156 	 percentage=38.46153846153847
WARNING: Could not compile fuzz targets!
iteration=81 	 commit=08f2cddf18b6ccdc13861b52821cbbf2d3e48472 	 equal=60 	 total=156 	 percentage=38.46153846153847
WARNING: Could not compile fuzz targets!
iteration=82 	 commit=10831921281f75b4b2c05ab85f4093331788e6a8 	 equal=60 	 total=156 	 percentage=38.46153846153847
WARNING: Could not compile fuzz targets!
iteration=83 	 commit=a59f61641fcb36859b625749afb4561557e419f6 	 equal=60 	 total=156 	 percentage=38.46153846153847
WARNING: Could not compile fuzz targets!
iteration=84 	 commit=00c1566e8cc0dacd899ec6dd267265f4b714eae4 	 equal=60 	 total=156 	 percentage=38.46153846153847
ERROR: Could not checkout parent commit!
