nohup: ignoring input
iteration=0 	 commit=6e25cb08 	 equal=0 	 total=0 	 percentage=0.0
iteration=128 	 commit=7b4f9d95 	 equal=0 	 total=128 	 percentage=0.0
iteration=129 	 commit=d9f814a6 	 equal=0 	 total=129 	 percentage=0.0
iteration=130 	 commit=9e33ee24 	 equal=0 	 total=130 	 percentage=0.0
iteration=131 	 commit=826f84a9 	 equal=0 	 total=131 	 percentage=0.0
iteration=132 	 commit=adf3a1e6 	 equal=0 	 total=132 	 percentage=0.0
iteration=133 	 commit=fb434563 	 equal=0 	 total=133 	 percentage=0.0
iteration=134 	 commit=5cda1f7d 	 equal=0 	 total=134 	 percentage=0.0
iteration=135 	 commit=5c9fd7fd 	 equal=0 	 total=135 	 percentage=0.0
iteration=136 	 commit=4d02a129 	 equal=0 	 total=136 	 percentage=0.0
iteration=137 	 commit=a0a8d6c9 	 equal=0 	 total=137 	 percentage=0.0
iteration=138 	 commit=d1561238 	 equal=0 	 total=138 	 percentage=0.0
iteration=139 	 commit=9406d95d 	 equal=0 	 total=139 	 percentage=0.0
iteration=140 	 commit=e732c429 	 equal=0 	 total=140 	 percentage=0.0
iteration=141 	 commit=fe44ebf6 	 equal=0 	 total=141 	 percentage=0.0
iteration=142 	 commit=b6fa402d 	 equal=0 	 total=142 	 percentage=0.0
iteration=143 	 commit=241dc042 	 equal=0 	 total=143 	 percentage=0.0
iteration=144 	 commit=5c3d398d 	 equal=0 	 total=144 	 percentage=0.0
iteration=145 	 commit=a2e50712 	 equal=0 	 total=145 	 percentage=0.0
iteration=146 	 commit=788e79f8 	 equal=0 	 total=146 	 percentage=0.0
iteration=147 	 commit=cdcde00b 	 equal=0 	 total=147 	 percentage=0.0
iteration=148 	 commit=47107046 	 equal=0 	 total=148 	 percentage=0.0
iteration=149 	 commit=02762652 	 equal=0 	 total=149 	 percentage=0.0
iteration=150 	 commit=b98b24f2 	 equal=0 	 total=150 	 percentage=0.0
iteration=151 	 commit=799db7cb 	 equal=0 	 total=151 	 percentage=0.0
iteration=152 	 commit=8e98ba1e 	 equal=0 	 total=152 	 percentage=0.0
iteration=153 	 commit=403e7312 	 equal=0 	 total=153 	 percentage=0.0
iteration=154 	 commit=633bfeee 	 equal=0 	 total=154 	 percentage=0.0
iteration=155 	 commit=1eefd957 	 equal=0 	 total=155 	 percentage=0.0
iteration=156 	 commit=70468770 	 equal=0 	 total=156 	 percentage=0.0
iteration=157 	 commit=94fdbeff 	 equal=0 	 total=157 	 percentage=0.0
iteration=158 	 commit=db58b2de 	 equal=0 	 total=158 	 percentage=0.0
iteration=159 	 commit=fee46992 	 equal=0 	 total=159 	 percentage=0.0
iteration=160 	 commit=6024682c 	 equal=0 	 total=160 	 percentage=0.0
iteration=161 	 commit=bb9b1a15 	 equal=0 	 total=161 	 percentage=0.0
iteration=162 	 commit=8fd5b8ec 	 equal=0 	 total=162 	 percentage=0.0
iteration=163 	 commit=080e72d1 	 equal=0 	 total=163 	 percentage=0.0
iteration=164 	 commit=2d9a45ab 	 equal=0 	 total=164 	 percentage=0.0
iteration=165 	 commit=6225e9ab 	 equal=0 	 total=165 	 percentage=0.0
iteration=166 	 commit=8029e6ba 	 equal=0 	 total=166 	 percentage=0.0
iteration=167 	 commit=f3d6853e 	 equal=0 	 total=167 	 percentage=0.0
iteration=168 	 commit=b9db5c5f 	 equal=0 	 total=168 	 percentage=0.0
iteration=169 	 commit=9df93971 	 equal=0 	 total=169 	 percentage=0.0
iteration=170 	 commit=1f2252e6 	 equal=0 	 total=170 	 percentage=0.0
iteration=171 	 commit=8832fa90 	 equal=0 	 total=171 	 percentage=0.0
iteration=172 	 commit=fcc509d3 	 equal=0 	 total=172 	 percentage=0.0
iteration=173 	 commit=3312be1d 	 equal=0 	 total=173 	 percentage=0.0
iteration=174 	 commit=080b35e6 	 equal=0 	 total=174 	 percentage=0.0
iteration=175 	 commit=3de2c557 	 equal=0 	 total=175 	 percentage=0.0
iteration=176 	 commit=7edec54a 	 equal=0 	 total=176 	 percentage=0.0
iteration=177 	 commit=ed84e124 	 equal=0 	 total=177 	 percentage=0.0
iteration=178 	 commit=ca59533b 	 equal=0 	 total=178 	 percentage=0.0
iteration=179 	 commit=a818ba2e 	 equal=0 	 total=179 	 percentage=0.0
iteration=180 	 commit=8c986782 	 equal=0 	 total=180 	 percentage=0.0
iteration=181 	 commit=664b461b 	 equal=0 	 total=181 	 percentage=0.0
iteration=182 	 commit=19c51b46 	 equal=0 	 total=182 	 percentage=0.0
iteration=183 	 commit=8ad1fcaa 	 equal=0 	 total=183 	 percentage=0.0
iteration=184 	 commit=4e207401 	 equal=0 	 total=184 	 percentage=0.0
iteration=185 	 commit=bd41822c 	 equal=0 	 total=185 	 percentage=0.0
iteration=186 	 commit=7c567338 	 equal=0 	 total=186 	 percentage=0.0
iteration=187 	 commit=1d5c9aac 	 equal=0 	 total=187 	 percentage=0.0
iteration=188 	 commit=eb878c01 	 equal=0 	 total=188 	 percentage=0.0
iteration=189 	 commit=1489b196 	 equal=0 	 total=189 	 percentage=0.0
iteration=190 	 commit=654e6cf8 	 equal=0 	 total=190 	 percentage=0.0
iteration=191 	 commit=0f131b92 	 equal=0 	 total=191 	 percentage=0.0
iteration=192 	 commit=5a9921c9 	 equal=0 	 total=192 	 percentage=0.0
iteration=193 	 commit=ba71d030 	 equal=0 	 total=193 	 percentage=0.0
iteration=194 	 commit=e842d208 	 equal=0 	 total=194 	 percentage=0.0
iteration=195 	 commit=0f13c0d9 	 equal=0 	 total=195 	 percentage=0.0
iteration=196 	 commit=65de1763 	 equal=0 	 total=196 	 percentage=0.0
iteration=197 	 commit=6f6f31c7 	 equal=0 	 total=197 	 percentage=0.0
iteration=198 	 commit=eff4187c 	 equal=0 	 total=198 	 percentage=0.0
iteration=199 	 commit=0f567b61 	 equal=0 	 total=199 	 percentage=0.0
iteration=200 	 commit=3024d7ca 	 equal=0 	 total=200 	 percentage=0.0
iteration=201 	 commit=d7ef96ba 	 equal=0 	 total=201 	 percentage=0.0
iteration=202 	 commit=396688ae 	 equal=0 	 total=202 	 percentage=0.0
iteration=203 	 commit=cdcd65b8 	 equal=0 	 total=203 	 percentage=0.0
iteration=204 	 commit=0eafbc2f 	 equal=0 	 total=204 	 percentage=0.0
iteration=205 	 commit=d814ba6e 	 equal=0 	 total=205 	 percentage=0.0
iteration=206 	 commit=95806ac1 	 equal=0 	 total=206 	 percentage=0.0
iteration=207 	 commit=90b06b6f 	 equal=0 	 total=207 	 percentage=0.0
iteration=208 	 commit=7f42b8e1 	 equal=0 	 total=208 	 percentage=0.0
iteration=209 	 commit=509027e9 	 equal=0 	 total=209 	 percentage=0.0
iteration=210 	 commit=b7927bf9 	 equal=0 	 total=210 	 percentage=0.0
iteration=211 	 commit=38a9b660 	 equal=0 	 total=211 	 percentage=0.0
iteration=212 	 commit=a33f5e93 	 equal=0 	 total=212 	 percentage=0.0
iteration=213 	 commit=bd66ab8a 	 equal=0 	 total=213 	 percentage=0.0
iteration=214 	 commit=9e1ecf43 	 equal=0 	 total=214 	 percentage=0.0
iteration=215 	 commit=e3091727 	 equal=0 	 total=215 	 percentage=0.0
iteration=216 	 commit=c7776369 	 equal=0 	 total=216 	 percentage=0.0
iteration=217 	 commit=0e0c23fc 	 equal=0 	 total=217 	 percentage=0.0
iteration=218 	 commit=5995dd4d 	 equal=0 	 total=218 	 percentage=0.0
iteration=219 	 commit=150b5be5 	 equal=0 	 total=219 	 percentage=0.0
iteration=220 	 commit=83e6ac71 	 equal=0 	 total=220 	 percentage=0.0
iteration=221 	 commit=7cee62f7 	 equal=0 	 total=221 	 percentage=0.0
iteration=222 	 commit=8b53ffe9 	 equal=0 	 total=222 	 percentage=0.0
iteration=223 	 commit=3feb0f1c 	 equal=0 	 total=223 	 percentage=0.0
iteration=224 	 commit=de10795a 	 equal=0 	 total=224 	 percentage=0.0
iteration=225 	 commit=ba4fb518 	 equal=0 	 total=225 	 percentage=0.0
iteration=226 	 commit=74aec5dd 	 equal=0 	 total=226 	 percentage=0.0
iteration=227 	 commit=bc401a75 	 equal=0 	 total=227 	 percentage=0.0
iteration=228 	 commit=b1e29298 	 equal=0 	 total=228 	 percentage=0.0
iteration=229 	 commit=0f9fc6b6 	 equal=0 	 total=229 	 percentage=0.0
iteration=230 	 commit=0dc963f6 	 equal=0 	 total=230 	 percentage=0.0
iteration=231 	 commit=889dea52 	 equal=0 	 total=231 	 percentage=0.0
iteration=232 	 commit=a024764c 	 equal=0 	 total=232 	 percentage=0.0
iteration=233 	 commit=c2d33ea9 	 equal=0 	 total=233 	 percentage=0.0
iteration=234 	 commit=b5c668ca 	 equal=0 	 total=234 	 percentage=0.0
iteration=235 	 commit=ff9373f4 	 equal=0 	 total=235 	 percentage=0.0
iteration=236 	 commit=7bba415f 	 equal=0 	 total=236 	 percentage=0.0
iteration=237 	 commit=029c59cd 	 equal=0 	 total=237 	 percentage=0.0
WARNING: Could not compile fuzz targets!
iteration=238 	 commit=2927185b 	 equal=0 	 total=237 	 percentage=0.0
WARNING: Could not compile fuzz targets!
iteration=239 	 commit=07cca2fa 	 equal=0 	 total=237 	 percentage=0.0
WARNING: Could not compile fuzz targets!
iteration=240 	 commit=f474ac37 	 equal=0 	 total=237 	 percentage=0.0
WARNING: Could not compile fuzz targets!
iteration=241 	 commit=3ab5414d 	 equal=0 	 total=237 	 percentage=0.0
WARNING: Could not compile fuzz targets!
iteration=242 	 commit=2fad2a89 	 equal=0 	 total=237 	 percentage=0.0
iteration=243 	 commit=f60e05bd 	 equal=0 	 total=238 	 percentage=0.0
iteration=244 	 commit=a90c5f0b 	 equal=0 	 total=239 	 percentage=0.0
iteration=245 	 commit=53ee208d 	 equal=0 	 total=240 	 percentage=0.0
iteration=246 	 commit=d4a48ee0 	 equal=0 	 total=241 	 percentage=0.0
iteration=247 	 commit=9147390d 	 equal=0 	 total=242 	 percentage=0.0
iteration=248 	 commit=685a987c 	 equal=0 	 total=243 	 percentage=0.0
iteration=249 	 commit=005a8642 	 equal=0 	 total=244 	 percentage=0.0
iteration=250 	 commit=3206edff 	 equal=0 	 total=245 	 percentage=0.0
iteration=251 	 commit=b007a39d 	 equal=0 	 total=246 	 percentage=0.0
iteration=252 	 commit=24285d91 	 equal=0 	 total=247 	 percentage=0.0
iteration=253 	 commit=a247b5d8 	 equal=0 	 total=248 	 percentage=0.0
iteration=254 	 commit=5dff1f66 	 equal=0 	 total=249 	 percentage=0.0
iteration=255 	 commit=aa24660e 	 equal=0 	 total=250 	 percentage=0.0
iteration=256 	 commit=1d9004cd 	 equal=0 	 total=251 	 percentage=0.0
iteration=257 	 commit=4d70f27b 	 equal=0 	 total=252 	 percentage=0.0
iteration=258 	 commit=ea7b12cd 	 equal=0 	 total=253 	 percentage=0.0
iteration=259 	 commit=948c2cb2 	 equal=0 	 total=254 	 percentage=0.0
iteration=260 	 commit=8c3f2536 	 equal=0 	 total=255 	 percentage=0.0
iteration=261 	 commit=0a5b94b9 	 equal=0 	 total=256 	 percentage=0.0
iteration=262 	 commit=92c3d253 	 equal=0 	 total=257 	 percentage=0.0
iteration=263 	 commit=ca2703c3 	 equal=0 	 total=258 	 percentage=0.0
iteration=264 	 commit=623c0d08 	 equal=0 	 total=259 	 percentage=0.0
iteration=265 	 commit=8ba73b3c 	 equal=0 	 total=260 	 percentage=0.0
iteration=266 	 commit=efc7e8c9 	 equal=0 	 total=261 	 percentage=0.0
iteration=267 	 commit=39c5e80d 	 equal=0 	 total=262 	 percentage=0.0
iteration=268 	 commit=5374226d 	 equal=0 	 total=263 	 percentage=0.0
iteration=269 	 commit=3aadbe17 	 equal=0 	 total=264 	 percentage=0.0
iteration=270 	 commit=ba4104aa 	 equal=0 	 total=265 	 percentage=0.0
iteration=271 	 commit=6979efbf 	 equal=0 	 total=266 	 percentage=0.0
iteration=272 	 commit=7238d580 	 equal=0 	 total=267 	 percentage=0.0
iteration=273 	 commit=94780571 	 equal=0 	 total=268 	 percentage=0.0
iteration=274 	 commit=22fdc658 	 equal=0 	 total=269 	 percentage=0.0
iteration=275 	 commit=1cfb7e8a 	 equal=0 	 total=270 	 percentage=0.0
iteration=276 	 commit=c87a2426 	 equal=0 	 total=271 	 percentage=0.0
iteration=277 	 commit=5a9676bd 	 equal=0 	 total=272 	 percentage=0.0
iteration=278 	 commit=978dc89d 	 equal=0 	 total=273 	 percentage=0.0
iteration=279 	 commit=8443a272 	 equal=0 	 total=274 	 percentage=0.0
iteration=280 	 commit=4b41535b 	 equal=0 	 total=275 	 percentage=0.0
iteration=281 	 commit=ac3f6178 	 equal=0 	 total=276 	 percentage=0.0
iteration=282 	 commit=fba441bf 	 equal=0 	 total=277 	 percentage=0.0
iteration=283 	 commit=87d49e80 	 equal=0 	 total=278 	 percentage=0.0
iteration=284 	 commit=5218ac78 	 equal=0 	 total=279 	 percentage=0.0
iteration=285 	 commit=967b6562 	 equal=0 	 total=280 	 percentage=0.0
iteration=286 	 commit=5ee14715 	 equal=0 	 total=281 	 percentage=0.0
iteration=287 	 commit=31671237 	 equal=0 	 total=282 	 percentage=0.0
iteration=288 	 commit=1a038242 	 equal=0 	 total=283 	 percentage=0.0
iteration=289 	 commit=559ba38b 	 equal=0 	 total=284 	 percentage=0.0
iteration=290 	 commit=f73b499e 	 equal=0 	 total=285 	 percentage=0.0
iteration=291 	 commit=fb0ed8c5 	 equal=0 	 total=286 	 percentage=0.0
iteration=292 	 commit=e162da3a 	 equal=0 	 total=287 	 percentage=0.0
iteration=293 	 commit=f52b84e6 	 equal=0 	 total=288 	 percentage=0.0
iteration=294 	 commit=0ae8dd13 	 equal=0 	 total=289 	 percentage=0.0
iteration=295 	 commit=cac910c1 	 equal=0 	 total=290 	 percentage=0.0
iteration=296 	 commit=69911715 	 equal=0 	 total=291 	 percentage=0.0
iteration=297 	 commit=7b7d31a6 	 equal=0 	 total=292 	 percentage=0.0
iteration=298 	 commit=3658417b 	 equal=0 	 total=293 	 percentage=0.0
iteration=299 	 commit=55b62418 	 equal=0 	 total=294 	 percentage=0.0
iteration=300 	 commit=bb0e18ae 	 equal=0 	 total=295 	 percentage=0.0
iteration=301 	 commit=03dff719 	 equal=0 	 total=296 	 percentage=0.0
iteration=302 	 commit=0bf42bb5 	 equal=0 	 total=297 	 percentage=0.0
iteration=303 	 commit=5fa272cc 	 equal=0 	 total=298 	 percentage=0.0
iteration=304 	 commit=a6fda39e 	 equal=0 	 total=299 	 percentage=0.0
iteration=305 	 commit=e9997985 	 equal=0 	 total=300 	 percentage=0.0
iteration=306 	 commit=8a56de5b 	 equal=0 	 total=301 	 percentage=0.0
iteration=307 	 commit=7b8ea229 	 equal=0 	 total=302 	 percentage=0.0
iteration=308 	 commit=69a3ff0c 	 equal=0 	 total=303 	 percentage=0.0
iteration=309 	 commit=bdd84021 	 equal=0 	 total=304 	 percentage=0.0
iteration=310 	 commit=3a6887a5 	 equal=0 	 total=305 	 percentage=0.0
iteration=311 	 commit=e944d717 	 equal=0 	 total=306 	 percentage=0.0
iteration=312 	 commit=f038d7f9 	 equal=0 	 total=307 	 percentage=0.0
iteration=313 	 commit=1310a126 	 equal=0 	 total=308 	 percentage=0.0
iteration=314 	 commit=d008ad79 	 equal=0 	 total=309 	 percentage=0.0
iteration=315 	 commit=9e2f06b8 	 equal=0 	 total=310 	 percentage=0.0
iteration=316 	 commit=eca43436 	 equal=0 	 total=311 	 percentage=0.0
iteration=317 	 commit=38a1326b 	 equal=0 	 total=312 	 percentage=0.0
iteration=318 	 commit=7cfc839e 	 equal=0 	 total=313 	 percentage=0.0
iteration=319 	 commit=8124b2ce 	 equal=0 	 total=314 	 percentage=0.0
iteration=320 	 commit=b54c0db0 	 equal=0 	 total=315 	 percentage=0.0
iteration=321 	 commit=1ceb73f3 	 equal=0 	 total=316 	 percentage=0.0
iteration=322 	 commit=02656760 	 equal=0 	 total=317 	 percentage=0.0
iteration=323 	 commit=6189b780 	 equal=0 	 total=318 	 percentage=0.0
iteration=324 	 commit=2e475fec 	 equal=0 	 total=319 	 percentage=0.0
iteration=325 	 commit=e2bb82a4 	 equal=0 	 total=320 	 percentage=0.0
iteration=326 	 commit=35a9de2c 	 equal=0 	 total=321 	 percentage=0.0
iteration=327 	 commit=b8c9a546 	 equal=0 	 total=322 	 percentage=0.0
iteration=328 	 commit=87c357c6 	 equal=0 	 total=323 	 percentage=0.0
iteration=329 	 commit=a51b305b 	 equal=0 	 total=324 	 percentage=0.0
iteration=330 	 commit=c7fae46c 	 equal=0 	 total=325 	 percentage=0.0
iteration=331 	 commit=e77ac405 	 equal=0 	 total=326 	 percentage=0.0
iteration=332 	 commit=9b91fbcf 	 equal=0 	 total=327 	 percentage=0.0
iteration=333 	 commit=87e2f5eb 	 equal=0 	 total=328 	 percentage=0.0
iteration=334 	 commit=03cef1c3 	 equal=0 	 total=329 	 percentage=0.0
iteration=335 	 commit=8eaa1d4a 	 equal=0 	 total=330 	 percentage=0.0
iteration=336 	 commit=f85cb287 	 equal=0 	 total=331 	 percentage=0.0
iteration=337 	 commit=9af863f0 	 equal=0 	 total=332 	 percentage=0.0
iteration=338 	 commit=50e08338 	 equal=0 	 total=333 	 percentage=0.0
iteration=339 	 commit=566e6974 	 equal=0 	 total=334 	 percentage=0.0
iteration=340 	 commit=79e90a82 	 equal=0 	 total=335 	 percentage=0.0
iteration=341 	 commit=8ca0c7d8 	 equal=0 	 total=336 	 percentage=0.0
